Symbol,Name,Price (Intraday),Change,% Change,Volume,50 Day Average,200 Day Average,52 Week Range
IVV,iShares Core S&P 500 ETF,397.95,3.10,0.01,2.473M,383.76,405.06,
IWF,iShares Russell 1000 Growth ETF,225.70,2.54,0.01,3.31M,220.06,237.33,
IWD,iShares Russell 1000 Value ETF,154.70,0.82,0.01,3.304M,148.20,153.54,
ITOT,iShares Core S&P Total U.S. Stock Market ETF,87.81,0.67,0.01,1.558M,84.94,89.77,
USMV,iShares MSCI USA Min Vol Factor ETF,74.40,0.48,0.01,1.857M,70.38,72.49,
IVW,iShares S&P 500 Growth ETF,61.38,0.69,0.01,2.577M,60.11,65.32,
IWB,iShares Russell 1000 ETF,217.86,1.74,0.01,1.061M,210.63,222.60,
IVE,iShares S&P 500 Value ETF,148.29,0.74,0.01,597896.00,141.10,145.00,
DGRO,iShares Core Dividend Growth ETF,51.16,0.39,0.01,1.511M,48.46,49.91,
ESGU,iShares ESG Aware MSCI USA ETF,87.99,0.74,0.01,778149.00,84.86,89.90,
QUAL,iShares MSCI USA Quality Factor ETF,118.08,0.99,0.01,585812.00,112.29,119.28,
ACWI,iShares MSCI ACWI ETF,87.76,0.67,0.01,2.221M,83.31,88.60,
IUSV,iShares Core S&P U.S. Value ETF,72.16,0.30,0.00,691623.00,68.74,70.62,
HDV,iShares Core High Dividend ETF,105.45,0.44,0.00,1.068M,101.18,103.15,
MTUM,iShares MSCI USA Momentum Factor ETF,149.22,0.20,0.00,392646.00,143.97,146.13,
IUSG,iShares Core S&P U.S. Growth ETF,85.46,0.93,0.01,1.175M,83.63,90.58,
IWV,iShares Russell 3000 ETF,228.65,1.94,0.01,251632.00,221.18,233.47,
IYW,iShares U.S. Technology ETF,78.52,1.26,0.02,332221.00,76.47,85.91,
OEF,iShares S&P 100 ETF,176.93,1.45,0.01,140433.00,172.18,183.73,
SOXX,iShares Semiconductor ETF,377.99,10.62,0.03,868270.00,342.85,389.10,
FXI,iShares China Large-Cap ETF,29.10,0.92,0.03,58.05M,25.09,29.56,
