Tick,Company Name,Price,Market Cap
SPY,SPDR S&P 500 ETF Trust,251.83,2.31E+11
ACWI,ISHARES TR/MSCI ACWI ETF,60.9,1000
AGG,iShares Barclays Aggregate Bond Fund,114.9,68089740904
BIL,SPDR S TR/SPDR BLOOMBERG BARC,91.58,1000
BIV,VANGUARD BD IX/VANGUARD IT BD ETF,89.09,1000
BND,Vanguard Total Bond Market ETF,86,1000
BNDX,VANGUARD CHARLO/TOTAL INTL BD ETF,56.26,1000
BSV,VANGUARD BD IX/VANGUARD SHORT TERM,81.97,1000
DGRO,ISHARES TR/CORE DIVID GR ETF,32.04,1000
DIA,SPDR Dow Jones Industrial Average ETF,213.96,17543197155
DVY,iShares Select Dividend ETF,71.04,12080352155
EEM,iShares MSCI Emerging Markets Indx,33.77,19101994004
EFA,iShares MSCI EAFE Index Fund,52.09,46755984136
EFAV,ISHARES TR/MSCI EAFE MIN VOLAT,60.64,1000
EMB,ISHARES TR/JPMORGAN USD EMERGI,95.77,1000
EWJ,iShares MSCI Japan ETF,47.64,8525177890
FLOT,ISHS II/SHS CL-DISTRG USD,4.87,1000
FVD,1ST TR VALUE LI/SHS,26.85,1000
GDX,VanEck Vectors Gold Miners ETF,25.04,10942262552
GLD,SPDR Gold Trust,151.9,50051047988
GOVT,ISHS /SHS CL-USD DIST USD,5.3,1000
HYG,iShares iBoxx $ High Yid Corp Bond,75.16,15047025217
IAU,iShares Gold Trust,15.42,20277300100
IEF,iShares Barclays 7-10 Year Trasry Bnd Fd,121.85,21177529734
IEFA,ISHARES TR/CORE MSCI EAFE ETF,48.5,1000
IEI,ISHARES TR/3-7 YR TREAS BD ETF,133.19,1000
IEMG,ISHARES INC/CORE MSCI EMERGING,40.12,1000
IGIB,iShares Lehman Intermdte Credit Bnd,54.55,8089764886
IGSB,iShares Barclays 1-3 Year Credit Bond Fd,52.04,12721178223
IJH,iShares Core S&P Mid Cap ETF,136.88,33987305212
IJR,iShares S&P SmallCap 600 Index,52.92,3851756900
ITOT,iShares S&P 1500 Index Fund,55.71,20907957085
IVE,iShares S&P 500 Value Index,94.17,13518103237
IVV,iShares S&P 500 Index,252.59,1.59E+11
IVW,iShares S&P 500 Growth Index,161.36,21573832081
IWB,iShares Russell 1000 Index,138.1,17483460772
IWD,iShares Russell 1000 Value Index,96.81,30311210235
IWF,iShares Russell 1000 Growth Index,146.86,41370462171
IWM,iShares Russell 2000 Index,107.67,31030482705
IWP,iShares Russell Midcap Growth Idx.,117.31,9015272139
IWR,iShares Russell Midcap Index Fund,41.48,15127755833
IWS,iShares Russell Midcap Value Index,61.23,7797634318
IWV,iShares Russell 3000 Index,144.16,8000878761
IXUS,ISHARES TR/CORE MSCI TOTAL INTL STK,45.87,1000
JPST,JPM ETF(IR)/SHS USD,98.68,1000
LQD,iShares IBoxx $ Invest Grade Corp Bd  Fd,121.73,39440521087
MBB,ISHARES TR/MBS ETF,110.16,1000
MDY,SPDR S&P MidCap 400 ETF,249.8,11613436953
MINT,PIMCO ETF TR/ENHANCED SHORT MAT,99.12,1000
MTUM,ISHARES TR/EDGE MSCI USA MOMEN,102.91,1000
MUB,ISHARES TR/NATL MUN BD ETF FD,110.07,1000
PFF,iShares S&P US Pref Stock Idx Fnd,30.29,13285194401
QQQ,PowerShares QQQ Trust Series 1,186.01,81556082091
QUAL,VE WD QUAL/ETF,28.78,1000
RSP,Invesco S&P 500 Eql Wght ETF,81.14,162524888
SCHB,SCHWAB STRATEGI/US BROAD MKT ETF,58.86,1000
SCHD,SCHWAB STRATEGI/US DIV EQUITY ETF,44.78,1000
SCHF,SCHWAB STRATEGI/INTL EQUITY ETF,25.15,1000
SCHG,SCHWAB STRATEGI/US LARGE-CAP GR ETF,77.31,1000
SCHP,SCHWAB STRATEGI/US TIPS ETF,58.48,1000
SCHX,SCHWAB STRATEGI/US LARGE-CAP ETF,59.73,1000
SCZ,ISHARES TR/MSCI EAFE SMALL CAP,43.45,1000
SDY,SPDR S&P Dividend,77.78,13837349568
SHV,iShares Barclays Short Treasury Bond Fnd,110.92,1000
SHY,iShares Barclays 1-3 Year Treasry Bnd Fd,86.64,23306159835
SPLV,INVESCO EXCHANG/S&P 500 LOW VOLATIL,45.53,1000
TIP,iShares Barclays TIPS Bond Fund,120.27,20229401408
TLT,iShares Barclays 20+ Yr Treas.Bond,168.1,18507810671
USMV,OSSIA.US MIN.VAR.ES/USD,190.25,1000
VB,Vanguard Small-Cap Index Fund,109.19,17943913755
VBK,Vanguard Small-Cap Growth ETF,143,6988741760
VBR,Vanguard Small-Cap Value ETF,83.92,8971316348
VCIT,VANGUARD SCOTTS/VANGUARD INTERMEDIA,86.47,1000
VCSH,VANGUARD SCOTTS/VANGUARD SHORT-TERM,78.58,1000
VEA,VANGUARD TAX-MA/FTSE DEVELOPED MKTS,32.47,1000
VEU,VANGUARD INTL E/VANGUARD FTSE ALL W,40.16,1000
VGK,Vanguard FTSE Europe ETF,42.17,10483170571
VGT,Vanguard Information Technology ETF,205.83,21930178128
VHT,Vanguard Health Care ETF,163.97,8514560436
VIG,Vanguard Dividend Appreciation ETF,101.9,33989224438
VMBS,VANGUARD SCOTTS/VANGUARD MTG BCKD S,54.43,1000
VNQ,VANGUARD IX FUN/RL EST IX FD ETF,65.48,1000
VO,Vanguard Mid-Cap ETF,126.7,20781206799
VOE,VANGUARD IX FUN/VANGUARD MID-CAP VA,77.62,1000
VOO,VANGUARD IX FUN/S&P 500 ETF SHS NEW,231.44,1000
VT,VANGUARD INTL E/TOTAL WORLD STK IX,61.26,1000
VTI,VANGUARD IX FUN/VANGUARD TOTAL STK,125.52,1.03E+11
VTV,Vanguard Value ETF,87.44,40528764659
VUG,Vanguard Growth ETF,152.34,38595185732
VV,Vanguard Large-Cap ETF,115.75,12697358300
VWO,Vanguard Emerging Markets Stock Index Fd,33.31,50054939063
VXUS,VANGUARD STAR F/VANGUARD TOTAL INTL,41.29,1000
VYM,VANGUARD WHITEH/HIGH DIV YIELD ETF,70.04,1000
XLF,Financial Select Sector SPDR Fund,20.04,14279414476
XLI,Industrial Select Sector SPDR Fund,57.1,6639359422
XLK,Technology Select Sector SPDR Fund,78.33,23029474852
XLP,Consumer Staples Select Sect. SPDR,54.92,12720668831
XLU,Utilities SPDR,53.71,9857073871
XLV,Health Care SPDR,87.57,18303469757
XLY,Consumer Discretionary SPDR,94.05,9527566269
