4/13/2020 16:00,4/13/2020 15:55,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:15,4/13/2020 15:10,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:55,4/13/2020 14:50,4/13/2020 14:45,4/13/2020 14:40,4/13/2020 14:35,4/13/2020 14:30,4/13/2020 14:25,4/13/2020 14:20,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 14:00,4/13/2020 13:55,4/13/2020 13:50,4/13/2020 13:45,4/13/2020 13:40,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:25,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:10,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:45,4/13/2020 12:40,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:15,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:55,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:30,4/13/2020 11:25,4/13/2020 11:20,4/13/2020 11:15,4/13/2020 11:10,4/13/2020 11:05,4/13/2020 11:00,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:40,4/13/2020 10:35,4/13/2020 10:30,4/13/2020 10:25,4/13/2020 10:20,4/13/2020 10:15,4/13/2020 10:10,4/13/2020 10:05,4/13/2020 10:00,4/13/2020 9:55,4/13/2020 9:50,4/13/2020 9:45,4/13/2020 9:40,4/13/2020 9:35
275.58,275.45,276.36,275.96,275.67,275.55,274.85,274.69,274.86,273.63,273.4099,273.4,274.27,273.9725,274.04,273.37,273.495,273.8634,273.5969,273.5,273.785,273.19,274.0115,274.32,274.12,274.365,273.74,273.98,273.77,273.28,272.89,272.75,272.94,272.76,273.435,273.04,273.29,273.128,274.076,273.8675,273.61,273.63,274.162,274.61,274.93,274.77,274.2583,274.38,273.6173,273.9,273.8,272.9301,273.179,273.195,273.5,272.955,272.55,272.209,271.6437,272.34,272.7298,272.32,272.67,272.48,272.73,273.53,273.48,272.87,273.69,274.81,275.1699,275.18,274.17,274.64,274.44,275.14,276.64,276.07
65.72,65.72,65.87,65.82,65.78,65.77,65.63,65.6,65.64,65.42,65.37,65.37,65.56,65.49,65.5,65.36,65.41,65.49,65.43,65.43,65.47,65.35,65.53,65.58,65.54,65.59,65.46,65.51,65.47,65.36,65.29,65.25,65.29,65.25,65.39,65.32,65.35,65.31,65.52,65.46,65.4,65.42,65.52,65.59,65.67,65.63,65.51,65.54,65.39,65.45,65.43,65.25,65.29,65.31,65.37,65.26,65.155,65.09,64.95,65.11,65.16,65.11,65.19,65.16,65.19,65.36,65.35,65.23,65.38,65.61,65.65,65.6702,65.49,65.62,65.54,65.66,65.97,65.85
116.7,116.785,116.81,116.81,116.8063,116.83,116.799,116.81,116.845,116.83,116.8069,116.85,116.855,116.865,116.86,116.86,116.89,116.91,116.87,116.8543,116.9,116.91,116.93,116.94,116.9214,116.96,116.945,116.925,116.9402,116.94,116.96,116.96,116.9343,116.945,116.955,116.94,116.94,116.925,116.94,116.91,116.9414,116.95,116.97,116.97,116.9486,116.95,116.92,116.95,116.8968,116.92,116.9358,116.885,116.8703,116.8161,116.79,116.82,116.78,116.68,116.6333,116.59,116.56,116.57,116.59,116.643,116.63,116.67,116.71,116.7,116.74,116.7925,116.8,116.82,116.8159,116.8372,116.79,116.88,116.915,116.8468
91.545,91.545,91.5438,91.545,91.545,91.545,91.542,91.545,91.55,91.5467,91.543,91.5429,91.54,91.545,91.545,91.545,91.5431,91.54,91.54,91.54,91.545,91.55,91.55,91.5465,91.545,91.55,91.55,91.55,91.55,91.55,91.54,91.54,91.535,91.55,91.545,91.55,91.55,91.545,91.541,91.54,91.5498,91.5498,91.54,91.55,91.5425,91.545,91.5463,91.545,91.5418,91.54,91.545,91.549,91.54,91.55,91.55,91.5516,91.5509,91.555,91.5501,91.557,91.555,91.555,91.555,91.555,91.555,91.5523,91.555,91.555,91.555,91.555,91.555,91.555,91.555,91.56,91.5506,91.555,91.555,91.5562
90.69,90.71,90.7401,90.76,90.75,90.7234,90.684,90.72,90.73,90.7,90.7317,90.7298,90.72,90.7374,90.73,90.74,90.81,90.75,90.7296,90.7359,90.74,90.73,90.71,90.75,90.78,90.8,90.8,90.74,90.7534,90.77,90.76,90.71,90.7401,90.77,90.753,90.74,90.7396,90.735,90.76,90.785,90.76,90.68,90.85,90.7927,90.84,90.6973,90.68,90.715,90.6226,90.62,90.58,90.5353,90.51,90.486,90.46,90.511,90.51,90.485,90.4496,90.46,90.4351,90.46,90.47,90.47,90.48,90.5101,90.51,90.557,90.5318,90.5688,90.57,90.575,90.625,90.5885,90.485,90.58,90.5779,90.54
87.19,87.095,87.14,87.14,87.14,87.13,87.13,87.13,87.16,87.146,87.13,87.16,87.15,87.15,87.155,87.16,87.185,87.195,87.17,87.17,87.22,87.195,87.225,87.225,87.205,87.23,87.2337,87.21,87.235,87.22,87.23,87.25,87.235,87.24,87.2466,87.22,87.24,87.23,87.22,87.215,87.22,87.23,87.245,87.235,87.215,87.23,87.2062,87.215,87.1687,87.17,87.175,87.155,87.125,87.075,87.065,87.08,87.08,87.03,87.005,87.01,86.97,86.995,86.98,86.98,86.9899,86.98,87.045,87.085,87.11,87.155,87.14,87.175,87.175,87.175,87.15,87.205,87.23,87.14
56.52,56.48,56.4834,56.484,56.49,56.501,56.485,56.495,56.5003,56.505,56.495,56.5,56.51,56.5,56.495,56.5,56.5,56.5,56.515,56.53,56.52,56.53,56.535,56.544,56.535,56.53,56.51,56.52,56.535,56.54,56.55,56.55,56.55,56.555,56.56,56.55,56.54,56.55,56.56,56.555,56.57,56.57,56.56,56.56,56.57,56.56,56.53,56.53,56.51,56.53,56.525,56.54,56.54,56.52,56.52,56.55,56.54,56.515,56.51,56.52,56.565,56.579,56.56,56.5403,56.55,56.565,56.56,56.54,56.54,56.58,56.575,56.58,56.575,56.575,56.595,56.58,56.6138,56.655
82.51,82.55,82.56,82.55,82.55,82.55,82.565,82.572,82.5301,82.525,82.53,82.515,82.49,82.51,82.455,82.4928,82.45,82.42,82.445,82.4535,82.45,82.495,82.4686,82.48,82.4565,82.465,82.4145,82.425,82.39,82.4232,82.415,82.485,82.45,82.46,82.465,82.46,82.47,82.49,82.44,82.425,82.41,82.42,82.43,82.45,82.405,82.39,82.395,82.385,82.3839,82.37,82.38,82.36,82.39,82.355,82.37,82.385,82.375,82.37,82.36,82.385,82.36,82.36,82.3619,82.365,82.37,82.365,82.365,82.4,82.38,82.395,82.375,82.32,82.305,82.28,82.39,82.425,82.46,82.375
34.93,34.955,35.125,35.08,35.05,35.025,34.93,34.93,34.94,34.79,34.74,34.738,34.85,34.82,34.84,34.7543,34.7744,34.835,34.8,34.79,34.83,34.765,34.89,34.92,34.88,34.93,34.855,34.87,34.8699,34.79,34.7456,34.72,34.74,34.73,34.81,34.76,34.8,34.79,34.92,34.9,34.87,34.8739,34.9329,34.9853,35.0401,35.01,34.944,34.94,34.86,34.8958,34.863,34.75,34.8,34.81,34.849,34.79,34.74,34.68,34.6,34.71,34.77,34.72,34.7681,34.73,34.76,34.86,34.88,34.815,34.88,35.05,35.05,35.11,34.965,35.04,35,35.09,35.3,35.29
234.05,234.09,235.01,234.5901,234.3198,234.18,233.53,233.42,233.62,232.73,232.51,232.44,233.18,232.86,232.92,232.35,232.37,232.78,232.56,232.4975,232.7,232.195,232.9,233.1001,232.9207,233.19,232.63,232.83,232.7877,232.38,232.055,231.8696,232.14,231.89,232.5294,232.16,232.41,232.2,233.22,232.99,232.76,232.76,233.1311,233.45,233.8709,233.8,233.232,233.29,232.5993,232.9622,232.92,232.07,232.24,232.33,232.71,232.3,231.989,231.64,231.19,231.8,232.17,231.836,232.14,231.95,232.357,232.9968,233.06,232.47,232.95,233.86,234.1285,234.42,233.52,233.97,233.7,234.22,235.65,235.25
