2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
285.6900,287.0500,282.9700,279.0800,279.1000,273.0400,281.5900,286.6400,279.1000,277.7600,283.7900,275.6600,278.2000,274.0300,265.1300,264.8600,248.1900,251.8300,246.1500,257.7500,261.6500,253.4200,261.2000,246.7900,243.1500,222.9500,228.8000,240.5100,240.0000,252.8000,239.8500,269.3200,248.1100,274.3600,288.4200,274.2300,297.4600,302.4600,312.8600,300.2400,309.0900,296.2600,297.5100,311.5000,312.6500,322.4200,333.4800,336.9500,338.3400,336.7300,337.6000,337.0600,337.4200,335.2600,334.6800,332.2000,333.9800,332.8600,329.0600,324.1200,321.7300,327.6800,326.6200,326.8900,323.5000,328.7700,331.7200,331.3400,331.3000,331.9500,330.9200,328.1900,327.4500,327.9500,325.7100,326.6500,324.4500,322.7300,323.6400,322.4100,324.8700,321.8600,321.0800,322.8600,322.9400,321.2300,321.2200,320.7300,320.9000,319.5900,319.5700,319.5000,317.3200,317.1300,314.4200,313.5300,313.8800,314.8700,312.0200,311.4600
68.0000,67.9900,66.9000,66.2200,66.2900,64.7700,66.8200,67.8100,66.0100,65.7300,67.4100,65.7200,66.2500,65.3000,63.7600,63.6900,59.9900,60.9000,59.7000,62.5700,63.0400,61.6800,63.5400,60.3600,58.7500,54.3300,55.3100,57.1200,56.7600,60.3900,56.8400,64.0200,59.7400,66.2500,69.8600,66.7900,72.2300,73.5400,75.8600,72.8700,74.6500,72.2600,73.0300,75.6800,75.6100,77.6000,80.3600,80.9900,81.4600,81.1200,81.4400,81.3600,81.7300,81.1900,80.7800,80.3800,80.9100,80.7500,79.9900,78.6400,78.1100,79.5100,79.5100,79.5200,78.7800,80.2700,80.9400,80.9300,80.8700,81.3100,81.0900,80.5000,80.5500,80.6200,80.0200,80.2000,79.7500,79.3600,79.5600,79.3800,80.0700,79.2500,79.0700,79.5500,79.5000,79.0700,79.0500,78.8700,78.7300,78.5500,78.5000,78.5100,78.8800,78.6300,77.9400,77.5700,77.6200,77.8700,77.2600,77.1800
117.2800,116.8200,117.3600,117.4200,117.1400,117.1400,117.0800,117.2500,117.3900,117.2400,116.7600,116.7000,117.2500,115.8100,115.7000,115.5400,114.9800,114.9000,114.7300,115.3700,115.6800,115.5700,115.0800,114.7300,113.5700,112.6400,110.0300,108.9500,106.5700,110.7900,113.7300,111.8600,110.1300,114.7200,116.3800,117.7100,117.8600,117.0000,116.6400,116.7300,115.9400,116.2200,115.3700,115.3500,115.4700,115.2700,114.9000,114.6700,114.4100,114.4400,114.2900,114.1700,114.0900,114.2100,114.3500,114.2200,113.8900,113.8200,113.9900,114.3700,114.6500,114.3100,114.3000,114.0400,114.1400,113.7900,113.5800,113.4300,113.3700,113.0500,113.1800,113.1800,113.0100,112.9100,112.9800,112.7900,112.6700,112.8000,112.9200,113.0100,112.6800,112.3700,112.6300,112.6300,112.4800,112.3800,112.2400,112.3200,112.3000,112.3700,112.5900,112.5800,112.8100,112.3600,112.8400,112.5400,112.5800,112.5200,112.6800,112.8100
91.5500,91.5500,91.5500,91.5600,91.5500,91.5500,91.5500,91.5600,91.5400,91.5500,91.5600,91.5500,91.5300,91.5500,91.5400,91.5600,91.5500,91.5800,91.5700,91.6300,91.6200,91.6200,91.6400,91.6400,91.6400,91.6400,91.6600,91.6300,91.6500,91.6300,91.6300,91.6200,91.6000,91.5900,91.5700,91.5900,91.5500,91.5500,91.5300,91.4900,91.4700,91.5400,91.5500,91.5300,91.5100,91.5100,91.5200,91.5000,91.5000,91.5000,91.4900,91.4900,91.4800,91.4700,91.4600,91.4700,91.4700,91.4600,91.4400,91.4400,91.5400,91.5400,91.5400,91.5300,91.5300,91.5200,91.5200,91.5100,91.5100,91.5000,91.5100,91.4900,91.4800,91.4800,91.4800,91.4800,91.4700,91.4500,91.4500,91.4600,91.4600,91.4300,91.4300,91.4200,91.4300,91.4200,91.4100,91.4100,91.5200,91.5100,91.4900,91.5000,91.4800,91.5000,91.4800,91.4800,91.4800,91.4700,91.4700,91.4500
91.1400,90.8700,91.1800,91.1800,91.0800,91.0800,91.1100,91.2100,91.2500,91.2700,90.7000,90.6900,90.6000,89.4900,89.2300,88.9700,89.0700,89.0900,89.0500,89.3300,89.0800,88.6700,88.1800,87.8000,86.7200,86.9100,84.6500,83.7700,85.1600,87.2500,89.3500,88.6200,88.1200,89.6700,90.7900,91.9100,92.2200,91.9000,91.6200,91.5300,90.6300,90.9200,90.0800,90.0200,90.0500,89.8600,89.5200,89.2200,89.0600,89.1100,88.9500,88.8200,88.7700,88.9100,89.0700,88.8900,88.6000,88.5800,88.7700,89.1000,89.4100,89.0900,88.9600,88.7200,88.8000,88.4800,88.2800,88.1300,88.0600,87.8300,87.8400,87.9100,87.7500,87.6500,87.6900,87.5800,87.4900,87.5800,87.6400,87.8200,87.4100,87.2200,87.3400,87.3200,87.2000,87.0700,86.9900,87.2400,87.1700,87.1600,87.3200,87.3200,87.5000,87.1300,87.5600,87.3100,87.3600,87.3400,87.5300,87.6400
87.5200,87.2600,87.5700,87.6000,87.4600,87.5300,87.4200,87.5600,87.6800,87.6300,87.2000,87.2000,87.4800,86.5300,86.3100,86.2300,85.9600,86.0000,85.6000,85.3500,86.1500,86.0600,85.6000,85.2100,84.0800,83.9900,82.1700,80.8000,80.8500,82.8500,84.6000,83.7200,80.3300,84.9500,86.5900,87.7700,87.9600,87.3600,87.0300,87.0500,86.5300,86.7600,86.1900,86.0900,86.1400,86.0700,85.8000,85.5900,85.3800,85.3900,85.2600,85.1700,85.0900,85.1900,85.3300,85.2000,84.9400,84.8600,85.0000,85.2600,85.5200,85.3000,85.2800,85.0400,85.1900,84.9100,84.7800,84.6300,84.5600,84.3500,84.3600,84.4100,84.2800,84.1600,84.2100,84.0700,83.9700,84.1000,84.1700,84.2700,83.9700,83.8600,83.9500,83.9800,83.8600,83.7800,83.7000,83.9400,83.9200,83.8600,83.9700,83.9600,84.1900,83.8100,84.2100,83.9300,83.9900,83.9700,84.0800,84.1700
57.1500,56.9700,57.0500,56.8100,56.6300,56.7900,56.7600,56.8700,56.8600,56.7700,56.5100,56.4900,56.5700,56.3500,56.4200,56.4200,56.1500,56.2600,56.1200,56.2600,56.5900,56.4400,56.2900,55.9100,55.4300,55.4400,55.3100,55.0000,54.9600,56.2500,56.2200,56.7000,56.7200,58.0500,57.8200,58.3000,58.4000,58.1700,58.1700,58.0500,57.9000,57.9900,57.8500,57.9100,58.0000,57.9500,57.8550,57.7600,57.6600,57.6200,57.5400,57.5500,57.5100,57.5300,57.5900,57.5100,57.3700,57.3700,57.4600,57.6400,57.6500,57.5700,57.5500,57.4000,57.5000,57.2600,57.1700,57.0000,56.9400,56.8100,56.8400,56.8400,56.7200,56.6900,56.8100,56.7100,56.7000,56.8100,56.8500,56.8900,56.7300,56.5800,56.6000,56.7100,56.7100,56.6700,56.6400,57.9700,57.9200,58.0400,58.0900,58.0700,58.1000,57.9600,58.1000,58.0000,57.9900,57.9300,57.9000,58.0600
82.5700,82.5600,82.5800,82.6200,82.5500,82.5900,82.6000,82.7100,82.7000,82.7300,82.6100,82.5100,82.5700,82.1400,81.9800,81.9100,81.7800,81.9700,81.8500,82.1800,81.9500,81.8000,81.8600,81.9000,81.2200,80.9500,80.2300,78.6700,79.9900,80.8100,81.0300,81.4600,81.5700,81.7900,82.0800,82.5000,82.5100,82.4000,82.3300,82.2300,81.8700,81.9500,81.6700,81.5600,81.5200,81.4500,81.2500,81.1600,81.1000,81.1300,81.0900,81.0300,81.0000,81.0600,81.1200,81.0800,80.9600,80.9600,81.0300,81.1600,81.3300,81.1600,81.1700,81.0400,81.1000,80.9800,80.9400,80.8800,80.8300,80.7400,80.7300,80.7400,80.7000,80.6800,80.7200,80.6800,80.6700,80.7300,80.7100,80.7400,80.6700,80.6100,80.6300,80.5700,80.4700,80.4700,80.4100,80.5700,80.6300,80.5800,80.5700,80.5500,80.6400,80.4900,80.6400,80.5200,80.5900,80.5700,80.6300,80.6900
36.2100,36.1300,35.3900,34.8800,34.8600,34.2300,35.2600,35.9400,34.6700,34.7200,35.7500,34.9300,35.5300,34.8400,33.6200,33.6600,31.5200,32.0400,31.1600,32.5900,33.2800,32.2400,33.3100,31.1400,30.9200,27.9900,29.2200,30.7300,30.8700,32.5300,30.6000,34.5000,31.4700,34.8600,36.7000,35.0900,37.9700,38.5000,39.8200,38.2000,39.2800,37.6800,38.1300,39.8600,40.0600,41.2900,42.5600,42.8500,42.9500,42.8100,43.0500,43.0500,43.1300,42.9200,42.8600,42.6500,42.9300,42.8700,42.2500,41.6700,41.4400,42.2800,42.0600,42.1500,41.8600,42.4500,42.8100,42.7500,42.7200,42.8800,42.7700,42.3900,42.3700,42.3700,42.1200,42.2600,41.9800,41.8300,42.0000,41.9800,42.3600,42.0700,41.9800,42.2000,42.1800,42.0400,42.0500,42.0500,41.8200,41.7300,41.8100,41.7700,41.7400,41.7700,41.3200,41.2400,41.2800,41.3900,41.0200,40.9300
241.0400,241.3200,237.8300,235.0700,234.7700,230.2200,236.6400,242.4300,235.3400,235.0800,239.6800,233.9600,237.1400,234.3300,226.6000,226.5300,210.6000,213.9600,209.3800,219.2300,223.1000,216.3500,225.0700,212.0600,206.6400,186.1300,191.9000,201.3100,199.3900,213.4700,202.4900,232.1100,212.1100,235.8400,250.4700,238.7200,258.8500,261.4600,270.8900,259.3000,267.0300,254.5600,257.5000,269.7400,270.7000,279.5600,289.7400,292.7800,294.1000,292.9500,294.5400,294.8200,295.7200,292.9400,292.9500,291.1900,293.7400,292.8600,288.0400,283.9800,282.4200,288.5400,287.2900,287.2900,285.3600,289.8000,291.5400,291.8100,291.8300,293.2700,292.9300,290.3500,289.2200,289.0200,288.2400,289.5600,287.4000,285.7400,286.9800,286.3200,288.6200,285.1000,284.5300,286.3300,286.0600,285.0100,285.3300,284.4600,284.4600,283.2100,283.4000,283.0700,282.1100,281.9500,279.7200,279.4600,279.7600,280.7000,277.3600,277.0500
81.2500,79.8900,77.8400,76.9500,77.1700,76.0800,77.9200,80.2000,77.0200,77.5900,80.8000,79.1600,81.1600,78.4200,75.0200,74.3000,69.3700,71.0400,69.7000,73.5400,75.3500,73.5400,74.9700,70.1500,69.5200,62.6700,66.3900,70.6000,71.0000,76.1600,71.2500,80.1400,73.9500,82.6700,87.5800,84.4500,92.7900,94.6200,97.7100,94.0500,96.3700,92.1600,93.7700,98.1300,99.2600,102.6900,105.5000,106.2300,105.9200,105.8200,106.1600,106.4100,106.7300,106.3400,105.7700,105.4100,106.1600,106.3500,104.9200,104.2000,103.7600,105.4100,105.1600,105.6300,104.8400,106.3600,107.2100,106.9000,106.8800,107.3000,106.8800,105.9700,105.8800,105.6700,104.9700,105.1700,104.7200,104.5300,104.6600,104.6700,105.3400,105.6600,105.2400,105.5500,105.6300,105.4500,105.5700,105.7600,105.1400,105.1400,104.8700,104.6100,104.6700,104.8100,103.7700,103.6000,103.6200,103.8700,103.1600,102.9900
36.3700,36.3000,35.5800,35.6300,35.7600,34.8100,35.8000,36.2600,35.4700,35.2800,36.2100,35.4000,35.3500,35.4800,35.1200,34.9400,33.1300,33.7700,32.6700,34.1300,33.9000,33.3500,35.3600,34.0700,32.9100,30.6100,31.3600,31.1300,30.8900,33.8100,31.6300,36.1400,33.7100,37.4600,39.2900,37.3900,40.1300,40.9700,41.8500,41.1200,41.4000,40.5200,40.6700,41.6700,41.3400,41.6700,43.2900,43.5400,44.2300,43.9100,44.2000,44.1800,44.7700,44.1700,43.6000,43.3600,43.9700,43.9300,43.6800,42.5800,42.1100,42.9800,43.6300,43.4200,43.0600,44.6000,44.9600,45.4300,45.0600,46.2300,45.9700,45.6800,46.0400,46.3000,45.5900,45.3500,45.0500,44.7900,44.8200,44.9300,45.7800,44.8700,44.7700,45.0700,44.8900,44.5700,44.6700,44.6100,44.5200,44.5000,44.2600,43.8600,44.4200,44.4400,43.6800,43.0500,42.9000,43.0700,42.8200,42.6300
56.3600,55.9400,55.2100,54.5800,54.7500,53.8400,54.9100,55.7400,54.3000,54.2700,56.0200,55.0400,55.5700,54.3400,53.9000,53.6000,50.9000,52.0900,51.0900,53.4600,53.9300,52.8600,54.4100,52.0800,50.4400,46.5000,47.0500,47.6400,46.9100,49.7600,47.4500,52.9100,49.8900,56.0500,59.0600,56.9600,61.7500,62.6900,64.4000,62.5300,63.0400,62.2400,62.6200,64.5300,64.4500,65.5300,68.2600,68.5800,68.9900,68.7600,69.2000,69.3200,69.8100,69.5700,69.1000,68.9600,69.6200,69.4300,68.7700,67.6400,67.4800,68.6400,68.7000,68.6900,68.0500,69.4900,69.7900,69.9600,69.8200,70.3800,70.1700,69.8800,69.8800,69.8100,69.4500,69.7100,69.5500,69.3500,69.5400,69.2700,70.1400,69.4400,69.1200,69.6400,69.5200,69.2200,69.2900,69.1800,69.1300,69.1300,69.2200,69.6200,69.6600,69.1800,68.7200,68.3600,68.3300,68.6900,68.0700,68.2000
