4/13/2020 16:00,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:50,4/13/2020 14:35,4/13/2020 14:25,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 13:55,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:25,4/13/2020 11:10,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:25,4/13/2020 10:15,4/13/2020 10:00,4/13/2020 9:45,4/13/2020 9:35
120,120.069,120.07,120.0297,120.0477,120.0412,120.0592,120.07,120.07,120.0569,120.0561,120.0618,120.055,120.055,120.0764,120.075,120.0798,120.075,120.075,120.075,120.08,120.08,120.07,120.065,120.065,120.065,120.065,120.032,120.03,120.045,120.05,120.03,120.03,120.03,120.0179,120.01,120.065,120.04,120.089,120.085,120.12,120.15,120.1552,120.1437,120.2168,120.0317
12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59
91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545,91.545
21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27
82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51,82.51
27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73
29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07
60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89,60.89
