2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
120.9100,120.4600,120.5000,120.4300,120.6000,120.6400,120.4900,120.3812,120.5600,120.3500,120.1100,120.0000,119.9600,120.0700,120.3000,120.4200,120.5800,120.8100,120.6200,120.5600,120.4300,120.0400,119.8850,119.6600,119.8400,120.4973,119.8600,119.4300,119.0500,119.8000,120.7600,119.4171,119.8800,120.5700,120.7400,121.7800,120.8500,120.1300,119.5600,119.6900,118.9800,119.1250,118.4800,118.2000,118.1300,117.9900,117.5300,117.3000,117.0900,117.1400,116.9600,116.9300,116.8700,117.0000,117.1100,116.9514,116.7500,116.7600,116.9100,117.2212,117.4700,117.1400,117.1000,116.9000,117.0200,116.7100,116.5300,116.3800,116.3700,116.0100,116.1423,116.1666,116.0400,116.0000,116.0288,115.9200,115.8700,116.0150,116.0200,116.0500,115.7800,115.5800,115.7153,115.6600,115.6300,115.5442,115.4200,115.4400,115.5300,115.6900,115.6200,115.8281,116.0000,115.7116,116.0200,115.8000,115.8400,115.8200,115.9350,116.0000
12.1100,12.0500,12.2300,12.3200,12.4800,12.4600,12.5500,12.7300,12.7400,12.7400,12.7100,12.5800,12.7100,12.3600,12.1700,12.0900,11.8200,12.0300,12.2500,12.6900,12.6400,12.2700,12.2500,11.6400,10.9200,10.6100,11.0400,10.5700,10.6800,11.8900,11.7700,12.4100,12.3500,13.3700,14.0000,14.1600,14.3300,14.3000,14.3100,14.3172,14.2000,14.1800,14.2400,14.2900,14.3000,14.3400,14.2800,14.2400,14.2100,14.2000,14.1850,14.1700,14.2300,14.2700,14.2600,14.2200,14.2200,14.1800,14.2000,14.2300,14.2300,14.2200,14.2100,14.1400,14.1300,14.0700,14.0200,14.0000,13.9700,13.8900,13.8800,13.8700,13.8300,13.8300,13.7850,13.7800,13.7698,13.7000,13.6500,13.7200,13.5700,13.5600,13.5200,13.5301,13.5200,13.5300,13.5400,13.5300,13.5500,13.5400,13.5400,13.5300,13.5300,13.5400,13.5700,13.5300,13.5400,13.5400,13.5200,13.4800
91.5500,91.5500,91.5500,91.5600,91.5500,91.5500,91.5500,91.5600,91.5400,91.5500,91.5600,91.5500,91.5300,91.5500,91.5400,91.5600,91.5500,91.5800,91.5700,91.6300,91.6200,91.6200,91.6400,91.6400,91.6400,91.6400,91.6600,91.6300,91.6500,91.6300,91.6300,91.6200,91.6000,91.5900,91.5700,91.5900,91.5500,91.5500,91.5300,91.4900,91.4700,91.5400,91.5500,91.5300,91.5100,91.5100,91.5200,91.5000,91.5000,91.5000,91.4900,91.4900,91.4800,91.4700,91.4600,91.4700,91.4700,91.4600,91.4400,91.4400,91.5400,91.5400,91.5400,91.5300,91.5300,91.5200,91.5200,91.5100,91.5100,91.5000,91.5100,91.4900,91.4800,91.4800,91.4800,91.4800,91.4700,91.4500,91.4500,91.4600,91.4600,91.4300,91.4300,91.4200,91.4300,91.4200,91.4100,91.4100,91.5200,91.5100,91.4900,91.5000,91.4800,91.5000,91.4800,91.4800,91.4800,91.4700,91.4700,91.4500
20.8700,20.7800,20.8500,20.7600,20.8800,20.7600,21.2300,21.4500,21.3400,21.3600,21.3600,21.2500,21.4800,20.8000,20.7000,20.4300,19.6100,20.0100,20.0000,20.4600,19.9900,19.7900,19.6900,19.0500,17.9700,17.1700,17.8300,17.8400,18.7900,19.6500,19.3800,20.6200,20.4000,20.7500,21.5800,21.3100,21.9900,22.1000,22.3000,22.1100,22.1100,21.9900,22.0600,22.3800,22.4300,22.4800,22.6700,22.6800,22.7000,22.6700,22.6500,22.6400,22.6500,22.6200,22.6200,22.5900,22.6000,22.6200,22.6200,22.6100,22.6100,22.6600,22.6800,22.6800,22.6200,22.7200,22.7500,22.7300,22.7600,22.8600,22.8800,22.8800,22.8400,22.8600,22.8700,22.9000,22.9100,22.8700,22.8800,22.8700,22.8700,22.8200,22.7100,22.7900,22.7900,22.7800,22.8000,22.8700,22.8600,22.8100,22.7600,22.7700,22.7500,22.7600,22.7300,22.7100,22.7100,22.6900,22.6400,22.5700
82.5700,82.5600,82.5800,82.6200,82.5500,82.5900,82.6000,82.7100,82.7000,82.7300,82.6100,82.5100,82.5700,82.1400,81.9800,81.9100,81.7800,81.9700,81.8500,82.1800,81.9500,81.8000,81.8600,81.9000,81.2200,80.9500,80.2300,78.6700,79.9900,80.8100,81.0300,81.4600,81.5700,81.7900,82.0800,82.5000,82.5100,82.4000,82.3300,82.2300,81.8700,81.9500,81.6700,81.5600,81.5200,81.4500,81.2500,81.1600,81.1000,81.1300,81.0900,81.0300,81.0000,81.0600,81.1200,81.0800,80.9600,80.9600,81.0300,81.1600,81.3300,81.1600,81.1700,81.0400,81.1000,80.9800,80.9400,80.8800,80.8300,80.7400,80.7300,80.7400,80.7000,80.6800,80.7200,80.6800,80.6700,80.7300,80.7100,80.7400,80.6700,80.6100,80.6300,80.5700,80.4700,80.4700,80.4100,80.5700,80.6300,80.5800,80.5700,80.5500,80.6400,80.4900,80.6400,80.5200,80.5900,80.5700,80.6300,80.6900
27.8500,27.6700,27.8400,27.6400,27.5100,27.6300,27.6200,27.6600,27.6200,27.7300,27.8000,27.7200,27.7800,27.3800,27.4800,27.2800,27.2900,27.5000,27.5600,27.8000,27.6600,27.9100,27.6900,26.7900,26.6900,26.8400,26.7300,26.5200,25.8500,27.3000,28.4300,27.8500,28.6600,29.5400,29.4400,29.8400,29.6700,29.4300,29.2000,29.2500,29.0000,28.9100,28.6500,28.5500,28.6400,28.5850,28.4900,28.3200,28.4100,28.5150,28.5000,28.5100,28.5500,28.5700,28.5900,28.5300,28.5400,28.5700,28.7100,28.7900,28.9300,28.8100,28.7900,28.7100,28.7900,28.7100,28.6600,28.6700,28.6200,28.5900,28.6200,28.6600,28.5600,28.6100,28.6500,28.5700,28.6600,28.7500,28.8400,28.7900,28.7800,28.8100,28.7000,28.7400,28.6300,28.5300,28.5000,28.5000,28.5700,28.6200,28.7200,28.7000,28.6600,28.6100,28.7500,28.5450,28.5400,28.5100,28.5900,28.5700
29.6800,29.5850,29.5000,29.4600,29.3700,29.3300,29.5500,29.5700,29.4200,29.5000,29.7700,29.5700,29.5000,29.3500,29.5000,29.1000,29.1900,29.3200,29.4600,29.6600,29.7400,29.8700,29.4500,29.1500,28.7700,28.7800,28.7600,28.6400,29.1300,29.5100,29.9600,29.8800,30.2700,30.6000,30.5600,31.0300,30.7500,30.7400,30.5900,30.6100,30.5169,30.2800,30.0800,29.9800,30.0300,29.9200,29.9700,29.8300,30.0000,30.0700,30.1700,30.1400,30.2300,30.2700,30.2500,30.2700,30.3200,30.4000,30.4500,30.4700,30.5400,30.4800,30.4900,30.4400,30.5700,30.5200,30.5100,30.5600,30.5100,30.6100,30.7100,30.6300,30.5900,30.6700,30.6800,30.6000,30.6500,30.7100,30.8400,30.8100,30.7929,30.8650,30.7950,30.7300,30.5300,30.5800,30.5500,30.5320,30.6208,30.5100,30.6200,30.6400,30.6300,30.6199,30.5800,30.5132,30.4800,30.4500,30.5200,30.4900
11.9460,11.8100,12.0100,12.2375,12.3100,12.2800,12.3200,12.4300,12.4200,12.5200,12.6400,12.5900,12.6400,12.7700,12.4900,12.4500,12.4500,12.7000,12.7800,13.3100,12.7400,12.0500,12.3200,11.8500,11.7500,10.7000,12.3000,12.0300,10.1800,11.8300,11.4750,12.2200,11.8800,13.0900,13.3900,13.5600,13.7100,13.7201,13.7500,13.7100,13.6000,13.4100,13.6900,13.7300,13.7600,13.7800,13.7500,13.7900,13.7900,13.6500,13.6100,13.6600,13.6600,13.7400,13.7200,13.6900,13.7500,13.6700,13.7000,13.6400,13.6800,13.6800,13.6700,13.6500,13.6700,13.6000,13.5400,13.5100,13.4500,13.4300,13.4300,13.5100,13.4800,13.4500,13.3500,13.4100,13.4900,13.5500,13.5000,13.4900,13.4400,13.4800,13.4000,13.3500,13.4800,13.4400,13.5100,13.4000,13.5100,13.5200,13.4400,13.3500,13.4000,13.3700,13.4500,13.4000,13.3400,13.2599,13.1500,13.0500
105.9500,105.9600,105.9600,105.9450,105.9300,105.9600,105.9600,106.0300,106.0250,106.0000,105.9800,106.0700,105.9400,106.0800,106.0700,106.0400,106.0900,106.0000,105.9100,106.1900,106.0300,106.1500,106.1100,106.1100,106.0800,106.0100,106.2201,106.0400,106.5900,106.0300,106.1700,106.1800,106.0250,106.0500,106.0369,106.0367,105.9700,105.9500,105.8900,105.8084,105.7000,105.6700,105.5900,105.5600,105.5600,105.5500,105.6800,105.6550,105.6500,105.6400,105.6150,105.6300,105.6100,105.6050,105.6000,105.6000,105.5895,105.5900,105.5732,105.5700,105.5800,105.5650,105.5450,105.5400,105.5350,105.5300,105.5400,105.5150,105.5110,105.6650,105.6550,105.6300,105.6300,105.6350,105.6300,105.6300,105.6050,105.6000,105.5800,105.5950,105.6000,105.5400,105.5650,105.5400,105.5393,105.5300,105.5300,105.7000,105.7000,105.6850,105.6800,105.6750,105.6800,105.6750,105.6600,105.6550,105.6600,105.6550,105.6450,105.6300
60.0000,60.2500,60.2200,60.0000,60.5100,60.6400,60.8800,61.0000,61.2600,61.2000,61.1200,60.8900,60.7400,60.4700,60.2100,59.4900,59.2100,58.9900,59.2600,60.5200,60.9200,60.7200,61.0100,59.1400,56.2700,53.7800,54.0000,54.2200,57.2900,57.6200,59.0600,58.8800,58.2000,61.4900,62.4600,62.9500,62.8000,62.6500,62.6900,62.7600,62.5723,62.7300,62.8500,62.8400,62.7900,62.7700,62.4900,62.3900,62.2700,62.2600,62.1900,62.0800,62.1600,62.1700,62.1000,62.0700,62.0100,62.0000,62.0400,62.2000,62.3100,62.2200,62.2500,62.1700,62.2000,62.0600,61.9800,61.9200,61.9100,61.7900,61.8800,61.8100,61.7200,61.6800,61.6700,61.6600,61.5700,61.5700,61.5000,61.5200,61.2300,61.2300,61.2500,61.2600,61.2000,61.2050,61.1600,61.1400,61.2100,61.3000,61.2600,61.2200,61.3100,61.2300,61.2900,61.2280,61.2200,61.1600,61.2000,61.1800
