Tick,Company Name,Price,Market Cap
ABBV,AbbVie Inc,75.13,1.11E+11
ACB,Aurora Cannabis Inc,0.83,1391080308
AER,AerCap Holdings N.V.,19.46,2560605059
APA,Apache Corporation,4.69,1769612999
AUY,Yamana Gold Inc.,3.05,2899351304
BA,Boeing Co,123.27,69552137125
BABA,Alibaba Group Holding Ltd - ADR,188.9,5.07E+11
BAC,Bank of America Corp,20.57,1.80E+11
BB,BlackBerry Ltd,3.23,1790062780
BMY,Bristol-Myers Squibb Co,55.21,1.25E+11
BP,BP plc,26.03,92387240237
BX,Blackstone Group Inc,41.19,47140676538
C,Citigroup Inc,39.23,82312659649
CAT,Caterpillar Inc.,116.74,64216688244
CCL,Carnival Corp,7.97,5362364100
CGC,Canopy Growth Corp,13.8,6853153735
CHK,Chesapeake Energy Corporation,0.17,333898205
CRM,salesforce.com inc.,134.32,1.20E+11
CTL,Centurylink Inc,8.8,9587952207
CVS,CVS Health Corp,55.41,72263505401
CVX,Chevron Corporation,76.12,1.43E+11
DAL,Delta Air Lines Inc.,22.68,14517332115
DB,Deutsche Bank AG,6.02,12434911960
DIS,Walt Disney Co,96.97,1.75E+11
EPD,Enterprise Products Partners L.P.,14.41,31546731915
ET,Energy Transfer LP Unit,5.22,14041261775
F,Ford Motor Company,4.36,17343436772
FCX,Freeport-McMoRan Inc,6.39,9271710886
FDX,FedEx Corporation,116.64,30472199840
GE,General Electric Company,6.9,60315088133
GM,General Motors Company,18.19,25993528953
GME,GameStop Corp.,2.85,183705293
GOLD,Barrick Gold Corp,19.85,35293995428
GS,Goldman Sachs Group Inc,149.93,51556981322
HAL,Halliburton Company,7.52,6616930703
HD,Home Depot Inc,181.31,1.95E+11
HPQ,HP Inc,15.49,22147044032
IBM,IBM Common Stock,110,97724880000
ITUB,Itau Unibanco Holding SA ADR,4.1,2.06E+11
JNJ,Johnson & Johnson,133.15,3.51E+11
JPM,JPMorgan Chase & Co.,87.51,2.69E+11
KMI,Kinder Morgan Inc,13.45,30465096917
KO,Coca-Cola Co,43.95,1.89E+11
LB,L Brands Inc,10.15,2806809844
LUV,Southwest Airlines Co,31.5,16294824000
LVS,Las Vegas Sands Corp.,40.27,30753591272
LYV,Live Nation Entertainment Inc.,33.95,7283327613
M,Macy's Inc,4.45,1377920190
MA,Mastercard Inc,238.88,2.38E+11
MCD,Mcdonald's Corp,161.5,1.20E+11
MCK,McKesson Corporation,129.2,22878864659
MGM,MGM Resorts International,11.51,5670873522
MMM,3M Co,137.91,79334246616
MNK,Mallinckrodt PLC,1.8,151572595
MO,Altria Group Inc,36.22,67310055008
MS,Morgan Stanley,33.9,54215458840
NEM,Newmont Corporation,48.23,38959590755
NIO,Nio Inc - ADR ADR Class A,2.39,2515862290
NKE,Nike Inc,80.14,99562409081
NOK,Nokia Oyj,3.04,15652981459
OPK,Opko Health Inc.,1.15,770302759
ORCL,Oracle Corporation,49.8,1.57E+11
OXY,Occidental Petroleum Corporation,12.77,11432023659
PBR,PETROLEO BRASIL/ADR,5.81,2.04E+11
PCG,PG&E Corporation,8.28,4386627938
PFE,Pfizer Inc.,32.87,1.82E+11
PG,Procter & Gamble Co,114.4,2.83E+11
PINS,Pinterest Inc,13.7,7844866490
PSTG,Pure Storage Inc,11.59,3094864991
RCL,Royal Caribbean Cruises Ltd,24.82,5187379936
RIG,Transocean LTD,1.1,673834714
SHOP,Shopify Inc,346.3,40430765984
SLB,Schlumberger Limited.,13.88,19267688718
SNAP,Snap Inc,11.27,16005541950
SPCE,Virgin Galactic Holdings Inc Class A,12.96,2537166247
SQ,Square Inc,45.88,19968563912
T,AT&T Inc.,28.76,2.06E+11
TDOC,Teladoc Health Inc,159.32,11631635094
TEVA,Teva Pharmaceutical Industries Ltd,8.12,8874526514
TGT,Target Corporation,94.36,47270774625
TWTR,Twitter Inc,23.02,18030116098
UBER,Uber Technologies Inc,23.68,40818992526
UNH,UnitedHealth Group Inc,240.44,2.28E+11
UPS,United Parcel Service Inc.,93.04,65322268162
V,Visa Inc,157.39,3.38E+11
VALE,Vale SA,8.15,2.26E+11
VZ,Verizon Communications Inc.,55.25,2.29E+11
WFC,Wells Fargo & Co,27.22,1.11E+11
WMT,Walmart Inc,118.65,3.36E+11
WORK,Slack Technologies Inc,24.26,13508154929
X,United States Steel Corporation,6.14,1045315943
XOM,Exxon Mobil Corporation,40.4,1.71E+11
