4/13/2020 16:00,4/13/2020 15:55,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:15,4/13/2020 15:10,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:55,4/13/2020 14:50,4/13/2020 14:45,4/13/2020 14:40,4/13/2020 14:35,4/13/2020 14:30,4/13/2020 14:25,4/13/2020 14:20,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 14:00,4/13/2020 13:55,4/13/2020 13:50,4/13/2020 13:45,4/13/2020 13:40,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:25,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:10,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:45,4/13/2020 12:40,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:15,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:55,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:30,4/13/2020 11:25,4/13/2020 11:20,4/13/2020 11:15,4/13/2020 11:10,4/13/2020 11:05,4/13/2020 11:00,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:40,4/13/2020 10:35,4/13/2020 10:30,4/13/2020 10:25,4/13/2020 10:20,4/13/2020 10:15,4/13/2020 10:10,4/13/2020 10:05,4/13/2020 10:00,4/13/2020 9:55,4/13/2020 9:50,4/13/2020 9:45,4/13/2020 9:40,4/13/2020 9:35
80.38,80.05,80.2,80.2199,80.23,80.29,79.83,79.8935,79.96,79.6857,79.595,79.5472,79.83,79.72,79.64,79.365,79.54,79.55,79.45,79.4402,79.47,79.24,79.38,79.44,79.43,79.55,79.25,79.29,79.43,79.24,79.355,79.29,79.2807,79.3,79.47,79.239,79.45,79.49,79.87,79.75,79.6891,79.68,79.965,79.99,80.1869,80.2,80.09,80.2,79.63,79.76,79.65,79.37,79.39,79.3,79.2975,79.26,79.13,79.085,78.71,79.06,79.42,79.34,79.43,79.56,79.55,79.87,80.05,79.785,80.225,80.602,80.5,80.45,80.5,80.55,80.1759,80.54,80.9603,80.5903
0.76,0.7581,0.7529,0.7533,0.7522,0.7543,0.7559,0.7562,0.75,0.7479,0.7466,0.7461,0.74,0.7451,0.742,0.7405,0.7401,0.7401,0.7401,0.7401,0.7411,0.7421,0.7425,0.7419,0.74,0.7466,0.7427,0.7426,0.7448,0.7413,0.7441,0.7456,0.7473,0.7459,0.7452,0.7477,0.75,0.7501,0.7501,0.7514,0.7504,0.75,0.7522,0.7539,0.754,0.7505,0.7504,0.7506,0.75,0.7532,0.7504,0.7504,0.7511,0.7501,0.7532,0.754,0.7514,0.7513,0.7501,0.7544,0.75,0.7502,0.7542,0.7526,0.7562,0.7671,0.76,0.7729,0.7714,0.775,0.7749,0.7988,0.78,0.7683,0.758,0.7607,0.7751,0.7801
24.75,24.88,24.71,24.72,24.69,24.71,24.7,24.655,24.7052,24.66,24.53,24.5027,24.63,24.505,24.45,24.295,24.34,24.524,24.57,24.6298,24.57,24.525,24.63,24.7,24.72,24.73,24.625,24.765,24.87,24.68,24.76,24.71,24.69,24.72,24.77,24.6,24.55,24.525,24.72,24.71,24.45,24.37,24.57,24.66,24.8,24.93,24.87,24.61,24.47,24.49,24.36,24.12,24.24,24.3348,24.51,24.43,24.275,23.86,23.74,23.91,24.04,24.07,24.27,24.17,24.33,24.56,24.675,24.17,24.18,24.35,24.555,24.5,24.31,24.32,24.26,24.55,25.0241,25.5181
8.37,8.41,8.48,8.53,8.498,8.465,8.4,8.395,8.4,8.355,8.345,8.3399,8.39,8.375,8.3906,8.375,8.37,8.4,8.393,8.4061,8.3911,8.322,8.36,8.39,8.38,8.385,8.2727,8.39,8.42,8.32,8.285,8.2739,8.24,8.25,8.3,8.255,8.27,8.26,8.304,8.28,8.3033,8.31,8.315,8.42,8.48,8.4901,8.46,8.39,8.3,8.37,8.355,8.27,8.2831,8.3016,8.4,8.31,8.2765,8.21,8.155,8.2385,8.25,8.2231,8.305,8.34,8.417,8.495,8.555,8.32,8.3827,8.53,8.54,8.6701,8.67,8.5,8.2677,8.35,8.5464,8.448
4.16,4.13,4.145,4.155,4.16,4.145,4.15,4.125,4.115,4.105,4.11,4.11,4.11,4.13,4.135,4.11,4.15,4.15,4.125,4.1592,4.14,4.11,4.085,4.08,4.06,4.06,4.02,4.025,4.03,4.03,3.99,3.995,3.99,3.9626,3.965,3.99,3.96,3.92,3.92,3.905,3.8763,3.8708,3.85,3.845,3.825,3.86,3.84,3.87,3.87,3.855,3.865,3.9,3.8799,3.8608,3.875,3.85,3.795,3.82,3.78,3.7515,3.74,3.705,3.735,3.725,3.73,3.7204,3.7,3.65,3.61,3.6329,3.66,3.6109,3.57,3.635,3.66,3.6175,3.7,3.71
147.34,147.5,148.3596,147.7899,147.755,147.82,147.3413,147.0946,147.39,146.77,146.6,146.385,147.15,147.22,147.05,146.99,147.06,147.56,147.7157,147.56,147.7894,147.17,147.735,147.44,147.02,147.4005,147.082,147.42,147.58,147.235,147.14,146.93,147.18,147.2,148.11,147.9966,148.11,148.06,149.035,148.8664,148.4257,148.7237,148.8642,149.367,150.0999,150.41,149.2845,148.4,147.6,148.4563,148.1266,147.48,147.61,147.8637,148.7868,148.1691,147.85,147.51,147.12,147.74,148.34,148.4739,149.54,149.55,150.255,150.651,150.6643,149.65,149.8598,150.8935,151.14,151.3106,149.83,149.945,149.73,151.985,153.758,152.11
199.59,199.58,200.25,200.13,200.25,200.21,200.18,199.91,199.91,199.4,199.44,199.33,199.655,199.75,199.95,199.41,199.615,199.895,199.8,199.6614,199.66,199.05,199.38,199.62,199.19,199.36,199.27,198.9399,198.89,198.94,198.4435,198.31,198.44,198.24,198.2,197.89,198.02,197.59,197.99,197.785,197.63,197.52,197.87,198.18,198.47,198.55,198.31,198.25,197.93,197.94,198,198.22,197.87,197.7069,197.59,197.57,197.23,196.85,196.4045,196.61,196.7127,196.6,196.81,196.68,196.22,196.145,196.106,196,196.285,197.15,196.75,196.705,196.33,196.56,196.11,195.925,197.6,197.66
23.93,23.925,24.075,24.0467,24.005,23.98,24.01,23.9736,23.98,23.82,23.825,23.855,23.99,23.895,23.875,23.8542,23.865,23.9226,23.9187,23.9317,23.99,23.995,24.005,24.03,23.99,24.05,23.99,24.045,24.05,23.985,23.96,23.94,23.965,23.935,24.03,24.03,23.99,23.985,24.085,24.07,24.05,24.04,24.08,24.17,24.21,24.1969,24.14,24.0972,24.15,24.225,24.115,24.06,24.105,24.0811,24.07,24.03,24.01,23.9426,23.805,23.98,23.98,23.98,24.08,24.01,23.9435,24.06,24.15,24.025,24.075,24.225,24.27,24.345,24.25,24.225,24.005,24.105,24.1589,24.3389
3.87,3.87,3.88,3.88,3.85,3.835,3.82,3.81,3.825,3.81,3.8,3.79,3.81,3.815,3.805,3.8,3.8,3.7975,3.79,3.7997,3.79,3.775,3.8,3.8,3.79,3.805,3.78,3.76,3.77,3.78,3.77,3.77,3.79,3.795,3.785,3.77,3.78,3.7599,3.775,3.76,3.755,3.75,3.76,3.7676,3.77,3.77,3.755,3.74,3.74,3.74,3.75,3.72,3.71,3.7,3.72,3.695,3.6875,3.671,3.665,3.6849,3.71,3.695,3.715,3.71,3.7,3.73,3.755,3.705,3.77,3.825,3.81,3.79,3.76,3.76,3.7282,3.77,3.84,3.77
58.93,58.95,59.38,59.269,59.28,59.25,59.12,59.04,59.075,58.89,58.895,58.94,59.11,59.09,59.035,58.96,58.92,59.01,58.935,58.9,58.955,58.84,58.97,59.055,59.005,59.06,58.965,59.014,58.9258,58.82,58.75,58.755,58.8,58.755,58.83,58.8,58.86,58.82,59.04,58.95,59,59.07,59.0773,59.055,58.995,58.945,58.86,58.81,58.72,58.73,58.68,58.505,58.59,58.54,58.555,58.56,58.51,58.49,58.51,58.54,58.54,58.3,58.09,58.1,58.125,58.34,58.31,58.2757,58.55,58.87,58.76,58.77,58.55,58.615,58.7835,58.585,58.73,58.6
