2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
82.7600,84.6900,83.5900,82.0400,81.4700,80.3600,83.9900,83.4500,81.8600,81.8200,82.1300,80.3000,79.7500,78.5600,75.3900,75.7300,73.3700,75.1300,73.4200,76.1900,75.2400,72.6700,73.8300,67.9100,67.4900,64.5000,68.8200,71.0600,71.0300,73.0200,74.2700,85.3700,78.6100,84.8500,87.5300,85.2700,88.8200,90.6100,91.7500,87.5700,88.6900,85.7100,85.4200,88.4100,89.1800,93.1400,94.9600,94.2300,94.1400,93.6100,94.0500,95.3500,97.7900,96.0000,94.7500,92.2900,87.1800,86.6300,84.3600,82.3000,81.0200,81.7800,83.2000,83.7700,84.0200,83.5400,85.2700,87.2100,87.9900,88.0000,89.2600,89.2600,88.2000,88.5200,89.0600,90.2100,89.5200,88.8900,89.4000,88.7000,89.5500,88.5400,88.5200,89.2000,89.8300,89.8500,90.2500,89.2900,88.7700,89.3300,90.0800,89.4300,87.8400,88.7300,86.7000,86.5600,86.4400,86.9800,86.7200,87.2000
0.7575,0.7600,0.7300,0.7156,0.7179,0.7200,0.7150,0.6900,0.6686,0.7086,0.7502,0.7598,0.8763,0.8522,0.8001,0.7995,0.8096,0.8333,0.8090,0.9059,0.8875,1.0300,0.9050,0.7461,0.7170,0.6826,0.7300,0.6617,0.6250,0.7095,0.6921,0.7700,0.7001,0.8587,0.9802,0.9490,1.1700,1.3100,1.3800,1.3300,1.3600,1.3400,1.4500,1.5100,1.5100,1.5500,1.6700,1.6800,1.7100,1.6400,1.5800,1.4700,1.4600,1.5400,1.5600,1.7000,2.0012,2.1200,2.1400,2.0000,1.8900,1.9400,1.9300,1.9700,1.8900,1.9900,2.0700,2.0400,2.0100,2.1300,2.1500,2.0500,1.7900,1.7000,1.6500,1.8600,1.7400,1.8300,1.9000,2.0000,2.0200,2.1600,1.9100,1.9100,2.0000,1.9900,2.0100,2.2500,2.2700,2.1900,2.3500,2.5400,2.6300,2.6000,2.4500,2.5200,2.6200,2.4300,2.4400,2.4800
24.3100,23.8300,22.2600,22.3000,22.3800,22.6000,22.9600,24.4300,22.7300,24.2100,24.4200,24.7500,25.7600,24.4400,23.7800,21.5500,18.9100,19.4600,20.0800,22.7900,22.7800,21.3900,24.9200,25.5600,21.7900,16.2800,18.5100,17.2400,15.1400,17.4600,20.8400,24.5000,26.8300,40.0100,45.2600,42.1900,47.4500,47.5600,51.6700,51.2000,52.6300,52.0800,52.1400,54.3500,54.5400,57.9900,61.6500,62.6000,62.7100,62.0000,62.5200,62.4500,60.7700,60.0400,58.8300,58.1600,58.7200,59.8000,59.0700,57.1000,56.6100,58.5200,58.5300,58.8300,58.1000,60.0900,61.1100,60.8500,60.7200,62.3500,62.5300,61.4400,61.1600,61.2900,60.5300,60.9700,60.6500,60.6500,60.7500,61.1800,61.6700,61.4700,61.2900,61.6600,62.5000,62.1700,62.1100,61.8200,61.4600,61.1600,61.5300,61.4300,61.9100,62.1000,61.0000,60.6900,60.7200,60.8200,59.9900,60.1100
10.6700,10.5000,10.6900,10.5000,9.4200,8.5700,8.4800,8.4900,7.4900,7.9400,8.0800,8.3800,8.2000,7.5800,6.5200,5.8700,5.3800,4.6900,4.0200,4.1800,4.1100,4.8600,5.7600,5.8900,5.5800,4.3100,4.8300,4.9500,4.4400,4.4600,5.4600,8.0700,7.7600,8.2500,10.7900,9.5500,20.7000,24.3400,25.1300,24.9900,25.5200,24.9200,25.0700,24.4300,25.5000,26.7500,28.4000,28.5800,28.4700,28.1100,27.3600,27.9200,28.4800,28.1700,27.9700,28.1100,28.9400,28.9000,28.1400,27.5600,27.4400,28.1800,28.0900,28.7300,28.8500,29.9800,30.2700,30.8700,31.7400,32.6700,33.1000,33.5400,33.5900,32.0100,32.3800,32.6000,32.7300,32.5100,25.6400,25.6900,25.3600,25.5900,25.5000,26.1200,26.2700,26.1700,26.5300,22.6200,22.7100,22.7400,22.4700,22.0700,21.3500,22.0400,21.2800,20.9300,20.6300,19.9900,18.5800,18.7000
4.7400,4.7700,4.7600,4.7200,4.6500,4.3600,4.3900,4.2600,4.3600,4.1600,4.1900,4.1600,3.7200,3.3800,3.3600,3.2800,3.0800,3.0500,2.9400,2.7500,2.8000,2.9700,3.2600,3.2800,3.2000,2.8000,2.5700,2.8100,2.9500,3.5000,2.9600,2.7100,3.1500,3.6200,4.0200,3.9100,4.2500,4.3500,4.2200,4.2000,3.9800,3.8200,4.0500,4.4700,4.4100,4.6300,4.6600,4.4300,4.4200,4.3700,4.1000,4.0000,3.8500,3.9300,3.9200,3.8400,3.9600,3.9200,3.9200,4.0200,4.0700,3.9200,3.9800,3.8900,4.0800,4.0600,3.9500,3.8800,3.8200,3.6800,3.7300,3.8200,3.6800,3.5900,3.7200,3.6500,3.7100,3.9300,3.8700,3.8800,3.9100,3.9500,3.9500,3.8500,3.9000,3.8000,3.5900,3.4800,3.6100,3.6500,3.6000,3.6900,3.7400,3.6700,3.7100,3.5400,3.5500,3.5600,3.7700,3.7600
131.3000,128.6800,128.9800,137.7400,134.9700,136.3300,143.6100,154.0000,134.2400,145.9800,141.0000,147.3300,151.8400,146.8700,141.5800,148.7700,124.5200,123.2700,130.7000,149.1400,152.2800,162.0000,180.5500,158.7300,127.6800,105.6200,95.0100,97.7100,101.8900,124.1400,129.6100,170.2000,154.8400,189.0800,231.0100,227.1700,262.3300,260.3700,283.1200,280.6200,289.2700,275.1100,287.7600,305.5900,304.1400,317.9000,330.3800,336.2800,338.3000,338.8800,340.4900,342.8200,347.4500,344.4200,344.6700,336.7500,341.4300,329.5500,317.9400,316.0000,318.2700,323.3000,322.0200,316.5600,316.6000,323.0500,317.7900,309.0000,313.3700,324.1500,332.0000,329.8000,332.3500,330.2200,329.9200,336.3400,331.3700,337.2800,333.7400,332.7600,333.3200,325.7600,326.4000,330.1400,329.9200,333.0000,337.5500,328.0000,333.5000,330.6800,327.0000,327.0000,341.6700,346.2900,350.0000,347.9000,351.2100,354.0900,345.6800,348.8400
201.1500,203.6900,204.3600,205.2400,209.9600,207.3400,212.1300,209.5000,212.6600,208.1700,204.7800,199.4400,196.3700,195.9800,198.0000,196.4500,187.1100,188.9000,187.5600,194.4800,191.2700,188.5900,195.3200,188.5600,185.7500,176.3400,181.3000,180.8800,180.0000,184.8100,178.8500,194.0000,185.1000,198.9100,206.3900,197.6600,204.6400,211.4600,211.9600,207.4100,210.9800,208.0000,205.0300,208.7400,205.6100,206.1600,212.5900,218.0400,222.1400,220.5200,219.6300,220.3600,224.3100,217.2100,215.7700,216.5300,220.9000,220.2200,222.8800,213.1000,206.5900,208.5800,212.0200,210.2300,205.4700,213.7500,219.1300,222.3700,222.2600,227.4300,223.9400,225.0600,226.4900,230.4800,223.8300,221.7800,218.0000,217.6300,216.6400,217.0000,219.7700,212.1000,212.9100,215.4700,216.3800,214.2600,214.8300,212.2500,210.1300,210.0000,208.1800,206.9700,204.9100,204.5000,204.6400,200.4500,198.7400,201.8900,200.0000,193.7400
23.8900,23.4700,22.1800,21.8700,21.8000,21.6400,22.5000,23.2800,21.4200,22.1900,23.7300,23.9200,24.8600,23.4500,22.1400,21.3900,20.0300,20.5700,19.7700,21.2300,22.0400,21.6000,22.7200,21.1000,21.0300,18.0800,19.6700,21.2000,20.7900,21.9800,20.4400,24.1600,20.5100,22.6700,23.6100,21.9300,25.7100,26.7800,28.3900,27.7500,29.3700,28.5000,29.1300,30.6300,31.0800,32.7300,34.3600,34.8500,34.7200,34.2700,34.8500,34.9100,34.9200,34.7700,34.6900,34.6100,34.6700,34.7100,33.6200,32.9700,32.8300,33.4800,33.0100,33.2400,32.8500,33.5400,34.1200,34.3600,34.2600,34.7100,34.7200,34.6700,35.3200,35.0600,34.7400,35.0300,34.9700,34.6200,34.8500,34.9000,35.6400,35.2200,35.1500,35.3500,35.5200,35.2200,35.1700,34.9600,34.9500,35.1100,35.0400,34.7000,34.4400,34.6800,33.6400,33.5300,33.5100,33.6700,33.0900,33.1500
4.2100,4.2600,4.0400,4.0100,3.9000,3.9200,4.0900,4.2700,4.0100,3.7000,4.0000,3.8600,3.7600,3.8400,3.6100,3.4800,3.2200,3.2300,3.3600,4.1300,3.9100,3.8100,3.9300,3.7600,3.6200,3.4400,3.3800,3.2600,3.1800,2.9000,3.3900,4.3800,3.7000,4.1600,4.2000,3.8500,4.4400,4.6700,4.9200,4.9300,5.0800,5.1700,5.1400,5.4700,5.5000,5.7600,6.0100,6.1600,6.1500,6.0900,5.8300,6.0000,6.0700,6.1900,6.0500,6.0200,6.1300,6.2000,6.1500,6.2100,6.1000,6.2400,6.3400,6.4100,6.2600,6.5900,6.6600,6.6300,6.5800,6.7300,6.8200,6.7300,6.6400,6.6700,6.5600,6.6400,6.6600,6.6600,6.6800,6.4600,6.5200,6.4200,6.4200,6.4500,6.4300,6.3600,6.4700,6.5300,5.8100,5.6500,5.7100,5.7200,5.6600,5.6700,5.5400,5.3800,5.4400,5.4100,5.3700,5.4200
62.1400,62.5600,62.2500,60.9500,60.9300,60.5900,61.6800,60.6000,59.5600,59.4600,60.0400,58.9200,58.9100,58.2500,56.9000,57.8700,55.5300,55.2100,54.8200,55.7400,54.3900,52.7900,52.2500,49.3500,49.2400,46.4000,48.4000,48.7900,50.2400,54.0900,51.1100,54.9900,52.7500,56.5100,57.9300,57.6600,60.3100,60.5000,61.4800,59.2000,60.3400,59.0600,59.5800,62.0400,62.1400,63.9700,65.6300,65.1700,65.7100,66.0700,66.3800,66.0800,67.0000,66.9900,66.9100,66.2500,67.1000,65.5900,64.2900,63.5800,62.9500,63.8100,64.1400,64.8100,63.7000,64.1600,66.8700,67.4300,67.4300,66.7200,66.7800,66.5800,66.4400,66.1500,65.2300,65.4500,63.8600,63.9300,62.9800,62.7800,63.3400,64.1900,63.7300,64.1400,63.9600,63.1600,63.2100,63.5100,62.8500,63.1500,64.1100,63.5000,63.8200,63.9400,62.4100,62.0900,61.2800,59.9500,59.4800,58.9000
