Tick,Company Name,Price,Market Cap
SPY,SPDR S&P 500 ETF Trust,251.83,2.31E+11
AA,Alcoa Corp,6.08,1130363185
AAL,American Airlines Group Inc,10.06,4286153718
AAPL,Apple Inc.,244.93,1.07E+12
ABBV,AbbVie Inc,75.13,1.11E+11
ADBE,Adobe Inc,303.96,1.46E+11
ADSK,Autodesk Inc.,137.05,30085353719
AMAT,Applied Materials Inc.,43.24,39707509741
AMD,Advanced Micro Devices Inc.,44.49,52091207445
AMRN,Amarin Corporation plc,5.22,1885471754
AMZN,Amazon.com Inc.,1918.83,9.55E+11
ATVI,Activision Blizzard Inc.,60.78,46753312221
AUY,Yamana Gold Inc.,3.05,2899351304
AXP,American Express Company,76.66,61770944430
BA,Boeing Co,123.27,69552137125
BABA,Alibaba Group Holding Ltd - ADR,188.9,5.07E+11
BAC,Bank of America Corp,20.57,1.80E+11
BB,BlackBerry Ltd,3.23,1790062780
BBBY,Bed Bath & Beyond Inc.,3.56,451981152
BBD,Banco Bradesco SA,3.79,1.54E+11
BBY,Best Buy Co Inc,52.76,13557789528
BHC,Bausch Health Companies Inc,13.58,4798574453
BIDU,Baidu Inc,99.59,34443020971
BILI,Bilibili Inc - ADR,24.42,8012595187
BKLN,INVESCO EXCHANG/SR LN ETF,20.01,#N/A
BMY,Bristol-Myers Squibb Co,55.21,1.25E+11
BP,BP plc,26.03,92387240237
BTU,Peabody Energy Corporation,3.39,329240200
BX,Blackstone Group Inc,41.19,47140676538
C,Citigroup Inc,39.23,82312659649
CAT,Caterpillar Inc.,116.74,64216688244
CGC,Canopy Growth Corp,13.8,6853153735
CHK,Chesapeake Energy Corporation,0.17,333898205
CLF,Cleveland-Cliffs Inc,3.74,1490814867
CMCSA,Comcast Corporation,34.37,1.56E+11
COG,Cabot Oil & Gas Corporation,16.7,6656211154
COST,Costco Wholesale Corporation,291.48,1.29E+11
CRM,salesforce.com inc.,134.32,1.20E+11
CRON,Cronos Group Inc,5.42,2692870810
