4/13/2020 16:00,4/13/2020 15:55,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:15,4/13/2020 15:10,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:55,4/13/2020 14:50,4/13/2020 14:45,4/13/2020 14:40,4/13/2020 14:35,4/13/2020 14:30,4/13/2020 14:25,4/13/2020 14:20,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 14:00,4/13/2020 13:55,4/13/2020 13:50,4/13/2020 13:45,4/13/2020 13:40,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:25,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:10,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:45,4/13/2020 12:40,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:15,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:55,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:30,4/13/2020 11:25,4/13/2020 11:20,4/13/2020 11:15,4/13/2020 11:10,4/13/2020 11:05,4/13/2020 11:00,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:40,4/13/2020 10:35,4/13/2020 10:30,4/13/2020 10:25,4/13/2020 10:20,4/13/2020 10:15,4/13/2020 10:10,4/13/2020 10:05,4/13/2020 10:00,4/13/2020 9:55,4/13/2020 9:50,4/13/2020 9:45,4/13/2020 9:40,4/13/2020 9:35
275.58,275.45,276.36,275.96,275.67,275.55,274.85,274.69,274.86,273.63,273.4099,273.4,274.27,273.9725,274.04,273.37,273.495,273.8634,273.5969,273.5,273.785,273.19,274.0115,274.32,274.12,274.365,273.74,273.98,273.77,273.28,272.89,272.75,272.94,272.76,273.435,273.04,273.29,273.128,274.076,273.8675,273.61,273.63,274.162,274.61,274.93,274.77,274.2583,274.38,273.6173,273.9,273.8,272.9301,273.179,273.195,273.5,272.955,272.55,272.209,271.6437,272.34,272.7298,272.32,272.67,272.48,272.73,273.53,273.48,272.87,273.69,274.81,275.1699,275.18,274.17,274.64,274.44,275.14,276.64,276.07
7.55,7.555,7.615,7.605,7.59,7.59,7.53,7.595,7.655,7.635,7.62,7.655,7.73,7.725,7.72,7.6675,7.69,7.71,7.72,7.725,7.665,7.635,7.66,7.603,7.6,7.61,7.6,7.606,7.605,7.55,7.52,7.51,7.5,7.5098,7.52,7.54,7.51,7.42,7.4,7.36,7.35,7.36,7.382,7.415,7.45,7.45,7.4,7.37,7.36,7.39,7.34,7.36,7.35,7.362,7.395,7.36,7.31,7.2417,7.18,7.205,7.19,7.24,7.24,7.31,7.325,7.38,7.33,7.21,7.285,7.35,7.34,7.305,7.29,7.34,7.185,7.195,7.3362,7.41
11.56,11.5173,11.5899,11.525,11.5161,11.515,11.515,11.435,11.415,11.37,11.4161,11.4399,11.52,11.51,11.5415,11.515,11.56,11.6267,11.6448,11.65,11.695,11.605,11.64,11.6156,11.62,11.645,11.58,11.615,11.6086,11.66,11.565,11.5474,11.58,11.626,11.7275,11.67,11.66,11.62,11.725,11.72,11.615,11.6,11.655,11.755,11.8801,11.95,11.79,11.735,11.69,11.705,11.64,11.58,11.6079,11.5903,11.7061,11.6381,11.575,11.525,11.41,11.44,11.39,11.44,11.51,11.545,11.5444,11.6,11.6829,11.5,11.57,11.7171,11.709,11.7399,11.62,11.74,11.6538,11.6,11.8809,11.99
273.25,273.255,273.47,272.92,272.6297,272.0619,271.43,270.925,270.74,269.59,269.15,269.1,269.9,269.75,269.9,269.09,269.32,269.605,269.405,269.1,269.32,268.8875,269.4299,269.31,269.4644,269.29,268.66,268.66,268.61,268.53,268.19,267.85,268.06,267.645,268.31,268.132,268.39,267.97,268.51,268.17,267.92,267.91,268.2359,268.64,268.82,269.0401,268.34,268.68,267.81,268.579,268.98,268.56,268.53,268.1,267.9666,267.63,267.14,266.47,266.0182,266.425,266.82,266.6945,267.31,266.8942,267.38,268.04,267.65,267.52,267.79,268.72,268.835,268.465,267.3,267.18,267.445,268.16,269.535,268.2
80.38,80.05,80.2,80.2199,80.23,80.29,79.83,79.8935,79.96,79.6857,79.595,79.5472,79.83,79.72,79.64,79.365,79.54,79.55,79.45,79.4402,79.47,79.24,79.38,79.44,79.43,79.55,79.25,79.29,79.43,79.24,79.355,79.29,79.2807,79.3,79.47,79.239,79.45,79.49,79.87,79.75,79.6891,79.68,79.965,79.99,80.1869,80.2,80.09,80.2,79.63,79.76,79.65,79.37,79.39,79.3,79.2975,79.26,79.13,79.085,78.71,79.06,79.42,79.34,79.43,79.56,79.55,79.87,80.05,79.785,80.225,80.602,80.5,80.45,80.5,80.55,80.1759,80.54,80.9603,80.5903
320.8,320.595,319.945,319.68,319.48,319.26,318.66,319.215,318.96,317.695,317.84,318.02,318.49,318.7,318.34,317.32,317.89,318.02,317.59,317.54,317.55,317.06,318.0867,318.2574,317.94,318.36,317.565,317.295,317.2,316.88,316.55,316.04,316.46,316.145,316.88,316,315.71,315.76,316.78,316.37,316.185,316.27,316.41,316.79,316.46,315.99,315.215,315.61,315.0996,315.3207,315.65,314.33,314.89,315.5957,316.24,315.345,314.3,314.34,314.1601,314.71,314.73,314.32,315.6614,314.58,314.46,314.74,314.98,314.95,316,316.77,317.04,315.9203,314.1,315.53,315.2,316.43,318.05,316.615
160.95,161.25,161.13,160.72,160.15,160.4,159.87,159.8087,159.97,158.775,158.82,158.85,159.02,158.89,159.1,159.04,159.12,159.3,159.35,159.45,159.34,159.09,159.38,159.52,159.7,159.97,159.53,159.47,159.42,159.305,159.17,159.01,159,159.24,159.1,159.275,159.16,158.99,159.15,159.075,158.805,159.09,159.21,158.655,158.23,158.403,158.375,158.5,157.75,157.78,157.74,157.081,157.38,157.732,157.95,157.81,157.4267,156.9615,157.02,157.93,158.14,157.75,158.39,158.17,158.92,158.45,159.08,159.21,159.695,160.65,161.01,161.105,160.52,161.53,160.33,160.3951,161.62,161.8114
49.89,49.82,49.83,49.77,49.81,49.8115,49.64,49.5749,49.6,49.27,49.21,49.26,49.41,49.37,49.4,49.25,49.31,49.405,49.29,49.31,49.34,49.2,49.42,49.51,49.51,49.65,49.48,49.5504,49.49,49.37,49.22,49.21,49.1,49.04,49.19,49.065,49.13,49.07,49.2905,49.21,49.2,49.24,49.33,49.56,49.5199,49.35,49.07,48.98,48.7,48.81,48.82,48.55,48.61,48.58,48.71,48.53,48.46,48.635,48.5501,48.7539,48.9,48.82,49.01,48.86,48.8333,48.925,48.84,48.58,48.725,49.1,49.12,49,48.6,48.8,48.6,48.91,49.17,49.04
50.95,50.93,51.03,50.9501,50.875,50.73,50.62,50.63,50.645,50.35,50.3,50.2916,50.45,50.325,50.36,50.18,50.255,50.3516,50.2905,50.273,50.265,50.083,50.22,50.25,50.21,50.3698,50.16,50.04,49.88,49.85,49.78,49.7911,49.86,49.795,49.98,49.85,49.88,49.7814,49.92,49.94,49.85,49.77,49.8573,49.95,50.005,49.9821,49.79,49.99,49.86,50.05,50.24,49.89,49.86,49.87,49.96,49.84,49.66,49.55,49.33,49.5301,49.68,49.72,49.675,49.58,49.495,49.6302,49.44,49.115,49.14,49.405,49.3718,49.39,49.02,49.005,48.92,48.925,49.13,48.66
6.38,6.395,6.4287,6.415,6.395,6.44,6.4557,6.45,6.47,6.38,6.39,6.375,6.39,6.415,6.3996,6.395,6.39,6.38,6.385,6.4229,6.45,6.42,6.42,6.38,6.36,6.36,6.33,6.355,6.34,6.325,6.35,6.31,6.35,6.32,6.2547,6.25,6.3,6.2981,6.445,6.4467,6.435,6.435,6.435,6.435,6.405,6.39,6.4299,6.37,6.28,6.293,6.295,6.288,6.3301,6.315,6.295,6.275,6.215,6.19,6.185,6.23,6.26,6.22,6.18,6.19,6.235,6.24,6.24,6.205,6.2301,6.33,6.25,6.25,6.18,6.0201,6.03,6.035,6.161,6.125
