2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
285.6900,287.0500,282.9700,279.0800,279.1000,273.0400,281.5900,286.6400,279.1000,277.7600,283.7900,275.6600,278.2000,274.0300,265.1300,264.8600,248.1900,251.8300,246.1500,257.7500,261.6500,253.4200,261.2000,246.7900,243.1500,222.9500,228.8000,240.5100,240.0000,252.8000,239.8500,269.3200,248.1100,274.3600,288.4200,274.2300,297.4600,302.4600,312.8600,300.2400,309.0900,296.2600,297.5100,311.5000,312.6500,322.4200,333.4800,336.9500,338.3400,336.7300,337.6000,337.0600,337.4200,335.2600,334.6800,332.2000,333.9800,332.8600,329.0600,324.1200,321.7300,327.6800,326.6200,326.8900,323.5000,328.7700,331.7200,331.3400,331.3000,331.9500,330.9200,328.1900,327.4500,327.9500,325.7100,326.6500,324.4500,322.7300,323.6400,322.4100,324.8700,321.8600,321.0800,322.8600,322.9400,321.2300,321.2200,320.7300,320.9000,319.5900,319.5700,319.5000,317.3200,317.1300,314.4200,313.5300,313.8800,314.8700,312.0200,311.4600
7.8400,7.3700,7.1500,7.2900,7.5500,7.3200,7.4500,7.5900,6.9600,7.2600,7.7200,7.5500,7.4100,7.2600,7.0300,6.5500,5.9700,6.0800,6.2500,6.1600,6.0700,6.5500,6.8400,7.0900,7.2700,5.6700,5.4800,5.8300,5.7500,7.0000,6.8200,8.0000,7.5100,9.2000,9.2600,8.6900,11.0100,11.8900,12.8800,12.9400,13.7300,13.8700,13.4600,14.1200,14.5000,15.3600,16.1000,16.1000,16.7000,15.9800,15.6700,15.7500,15.7600,15.7400,15.4200,15.5500,15.9200,15.8100,14.7000,14.2400,13.9500,14.2900,14.5000,14.7100,14.8700,15.5100,16.2900,16.5900,17.1200,17.6900,17.7800,20.1800,20.3700,19.6100,19.4500,19.8100,20.4600,21.3200,21.0000,21.5000,21.4200,21.5100,21.3400,21.5800,21.4500,21.5800,21.4800,21.2300,21.4700,20.9500,20.7100,20.9800,20.6900,21.2600,20.6500,20.6500,20.2500,20.6000,19.8700,19.7600
11.2600,10.0200,10.3100,10.2500,10.2700,11.0000,11.0600,11.5700,11.0700,12.2900,11.9450,11.5600,12.5100,11.3300,10.2200,9.5000,9.3900,10.0600,10.6900,12.1900,12.2500,14.0400,15.6600,15.3900,13.9200,10.2500,10.3800,10.2900,11.6500,15.5800,15.9200,14.3100,13.4500,16.2600,17.0000,14.7500,15.9700,16.0400,18.5300,17.8500,18.8600,19.0500,20.6000,22.3100,23.1200,25.4500,27.8200,28.5100,28.3300,28.6300,29.2000,30.0900,30.4700,29.8400,28.7900,28.3800,28.3000,29.1000,28.4300,27.1600,26.8400,27.7200,26.8000,26.9000,26.1100,27.6400,28.8000,27.3200,27.2000,28.4000,28.2300,27.5800,27.5300,27.3900,27.3200,27.9500,27.8400,27.2200,27.3200,27.6500,29.0900,28.6800,28.3000,28.4400,29.6700,29.1800,29.3000,29.0400,28.5500,28.0000,28.2800,27.9200,27.4800,27.7200,26.8600,27.0000,27.4900,27.7250,27.2400,27.3800
278.5800,283.1700,282.9700,275.0300,276.1000,268.3700,276.9300,282.8000,286.6900,284.4300,287.0500,273.2500,267.9900,266.0700,259.4300,262.4700,241.4100,244.9300,240.9100,254.2900,254.8100,247.7400,258.4400,245.5200,246.8800,224.3700,229.2400,244.7800,246.6700,252.8600,242.2100,277.9700,248.2300,275.4300,285.3400,266.1700,289.0300,292.9200,302.7400,289.3200,298.8100,273.3600,273.5200,292.6500,288.0800,298.1800,313.0500,320.3000,323.6200,319.0000,324.9500,324.8700,327.2000,319.6100,321.5500,320.0300,325.2100,321.4500,318.8500,308.6600,309.5100,323.8700,324.3400,317.6900,308.9500,318.3100,319.2300,317.7000,316.5700,318.7300,315.2400,311.3400,312.6800,316.9600,310.3300,309.6300,303.1900,298.3900,299.8000,297.4300,300.3500,293.6500,291.5200,289.8000,289.9100,284.2700,284.0000,279.4400,280.0200,279.7400,280.4100,279.8600,275.1500,271.4600,270.7700,268.4800,266.9200,270.7100,265.5800,261.7400
82.7600,84.6900,83.5900,82.0400,81.4700,80.3600,83.9900,83.4500,81.8600,81.8200,82.1300,80.3000,79.7500,78.5600,75.3900,75.7300,73.3700,75.1300,73.4200,76.1900,75.2400,72.6700,73.8300,67.9100,67.4900,64.5000,68.8200,71.0600,71.0300,73.0200,74.2700,85.3700,78.6100,84.8500,87.5300,85.2700,88.8200,90.6100,91.7500,87.5700,88.6900,85.7100,85.4200,88.4100,89.1800,93.1400,94.9600,94.2300,94.1400,93.6100,94.0500,95.3500,97.7900,96.0000,94.7500,92.2900,87.1800,86.6300,84.3600,82.3000,81.0200,81.7800,83.2000,83.7700,84.0200,83.5400,85.2700,87.2100,87.9900,88.0000,89.2600,89.2600,88.2000,88.5200,89.0600,90.2100,89.5200,88.8900,89.4000,88.7000,89.5500,88.5400,88.5200,89.2000,89.8300,89.8500,90.2500,89.2900,88.7700,89.3300,90.0800,89.4300,87.8400,88.7300,86.7000,86.5600,86.4400,86.9800,86.7200,87.2000
333.4500,348.5000,344.1000,335.3700,336.7700,328.9900,344.8800,344.1100,342.7000,332.5500,340.7650,320.6500,318.7000,317.1800,308.9300,319.1300,293.6100,303.9600,301.2100,318.2400,318.3900,305.8300,322.6700,305.9100,310.0000,307.2700,295.3400,307.5100,294.6100,311.8100,286.0300,335.5000,285.0000,315.2300,332.3800,305.7900,336.7700,351.0300,363.8500,348.3400,360.2800,345.1200,337.5200,351.3400,347.8000,357.4100,372.9500,378.9600,383.2800,378.8500,379.6700,374.8400,374.2900,369.2800,370.0000,366.0900,367.4600,365.5500,366.7400,358.0000,351.1400,356.7400,351.6600,354.6300,346.9000,351.3700,351.7600,350.0600,350.0000,349.7400,345.3800,342.9400,344.6300,345.6300,339.8100,340.4500,337.8700,333.3900,333.7100,331.8100,334.4300,329.8100,328.3400,330.7900,331.2000,329.6400,328.9500,327.6100,327.6300,324.3800,322.8500,323.8000,317.9400,305.9600,303.7400,304.1700,307.0500,306.2300,303.0300,302.5100
177.3100,182.5100,180.3500,175.5500,175.3700,170.0200,177.8700,180.9400,171.0000,169.1400,172.2200,160.9200,164.9000,159.2100,148.7000,152.3200,139.0000,137.0500,139.2200,156.1000,155.9100,141.5700,160.8800,149.9900,149.9600,144.1400,148.0200,149.2300,141.8200,154.9200,148.0800,158.0300,136.0000,154.4000,164.4800,160.0500,173.4200,184.0400,191.4200,180.5500,190.8300,190.8800,180.6500,190.6700,186.7300,194.3700,201.9100,206.6700,210.7600,207.0600,208.9500,207.5100,207.1100,205.8000,206.1000,207.0100,206.0000,202.0800,203.9400,199.2600,196.8500,198.9900,199.7400,200.0300,195.8700,199.1900,198.6000,194.7300,195.8400,193.3500,192.5000,190.7900,191.1100,192.4500,192.3600,191.9400,189.9500,187.5000,187.1200,184.9500,187.8300,183.4600,183.3000,185.3800,184.2400,183.9100,182.9200,182.8400,183.7800,183.7500,181.4900,184.3700,179.4100,177.9000,179.6400,178.4600,178.8300,179.3200,176.6300,176.4000
50.4200,51.0300,51.7400,50.9000,52.1100,48.3300,50.6300,53.2000,52.2300,50.3700,52.4700,49.8800,49.5900,51.4600,47.5600,46.1500,42.2800,43.2400,43.3000,45.8200,47.3000,45.0500,49.2000,44.7300,45.1400,40.1700,37.9900,40.1900,39.1800,44.8600,40.5300,50.8900,45.1100,52.4900,56.1700,52.0700,57.7900,59.1300,60.5200,58.0400,60.1600,58.1200,57.0000,59.8100,58.8600,61.0800,64.2700,66.4000,67.4100,65.1600,66.8500,67.3700,65.3700,64.4500,62.9200,61.7100,63.1900,63.8000,63.0100,59.7200,57.9900,60.2500,59.8200,60.1900,59.0500,62.0000,63.8900,63.8900,63.2000,62.8500,63.2100,61.9300,62.3500,61.8100,61.4700,61.9700,61.5800,61.6200,59.8900,61.2100,62.2000,61.0400,60.9300,61.1700,61.3100,61.5000,61.0800,61.8100,60.6700,60.3800,60.7900,59.9600,59.8700,60.3600,59.0400,56.6200,56.6000,56.6000,55.8400,56.0900
55.5100,56.4900,56.1800,55.9000,55.9200,52.9200,56.9700,56.6000,56.9500,54.9900,54.9300,50.9400,48.3800,48.7900,47.5600,47.5200,42.5900,44.4900,43.6600,45.4800,47.8600,46.5800,47.5000,44.6300,46.2200,41.6400,39.6100,39.8200,39.1200,41.8800,38.7100,43.9000,39.0100,45.7000,45.3800,43.2700,48.5900,48.1100,50.1100,46.7500,47.4600,45.4800,44.0100,47.4900,47.5700,49.1200,53.2800,57.2700,58.9000,56.8900,55.3100,54.5300,53.8900,53.8000,52.2600,49.7300,49.3200,49.8400,49.4500,48.0200,47.0000,48.7800,47.5100,50.5300,49.2600,50.3500,51.7100,51.4300,51.0500,50.9300,49.7700,48.5450,48.2100,48.7450,48.1650,48.9700,47.8300,48.2500,48.3900,48.6000,49.1000,45.8600,45.5200,46.1800,46.6300,46.5400,45.4600,44.1500,42.8300,42.3000,42.7700,42.3500,41.1500,42.5900,39.4700,39.4400,38.9300,39.6300,39.6200,39.6900
7.8200,7.8500,7.5300,6.7300,6.6800,6.4500,6.7200,6.5100,6.1400,6.3200,6.3800,6.3900,6.0500,5.8100,5.0400,4.8000,4.7800,5.2200,4.9800,4.0000,13.5800,13.2400,13.7000,12.3800,11.9100,10.5500,10.6400,11.5300,10.2300,10.5900,10.2600,12.5500,11.5000,12.5600,14.1700,13.9700,14.9100,15.4500,16.0200,15.5400,16.1000,14.6700,14.6700,16.2700,17.5000,17.5800,17.9300,17.8700,18.1000,18.1900,17.6200,17.6900,18.1800,17.9000,17.9200,17.6600,18.5100,18.7200,18.8300,18.3900,18.5500,19.0400,19.3100,20.2600,19.6600,20.2200,20.7600,20.8200,21.0700,19.9100,20.0600,19.4000,19.3200,19.7500,18.9500,19.9900,19.4600,20.0800,21.2300,20.9500,21.5300,21.4400,21.0300,21.5500,21.7200,21.3900,21.2200,20.9900,21.2300,20.8300,21.3400,22.8800,24.1200,22.9900,22.8100,23.2300,22.5700,22.4500,21.8100,22.7800
