4/13/2020 16:00,4/13/2020 15:55,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:15,4/13/2020 15:10,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:55,4/13/2020 14:50,4/13/2020 14:45,4/13/2020 14:40,4/13/2020 14:35,4/13/2020 14:30,4/13/2020 14:25,4/13/2020 14:20,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 14:00,4/13/2020 13:55,4/13/2020 13:50,4/13/2020 13:45,4/13/2020 13:40,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:25,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:10,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:45,4/13/2020 12:40,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:15,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:55,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:30,4/13/2020 11:25,4/13/2020 11:20,4/13/2020 11:15,4/13/2020 11:10,4/13/2020 11:05,4/13/2020 11:00,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:40,4/13/2020 10:35,4/13/2020 10:30,4/13/2020 10:25,4/13/2020 10:20,4/13/2020 10:15,4/13/2020 10:10,4/13/2020 10:05,4/13/2020 10:00,4/13/2020 9:55,4/13/2020 9:50,4/13/2020 9:45,4/13/2020 9:40,4/13/2020 9:35
203.04,203.01,203.27,202.98,202.7937,202.72,202.1499,201.9701,201.9746,201.16,201.02,201.05,201.54,201.3529,201.38,200.89,201,201.18,200.98,200.9,201.08,200.66,201.17,201.33,201.22,201.34,200.88,200.92,200.76,200.59,200.22,200.07,200.2,200.06,200.505,200.24,200.34,200.12,200.69,200.61,200.34,200.37,200.65,200.9721,201.05,201.14,200.82,200.96,200.315,200.59,200.72,200.06,200.1,200.08,200.285,199.84,199.43,199.21,198.924,199.37,199.67,199.34,199.66,199.43,199.49,199.95,199.715,199.345,199.855,200.54,200.6935,200.4501,199.49,199.72,199.645,200.12,201.08,199.99
11.56,11.5173,11.5899,11.525,11.5161,11.515,11.515,11.435,11.415,11.37,11.4161,11.4399,11.52,11.51,11.5415,11.515,11.56,11.6267,11.6448,11.65,11.695,11.605,11.64,11.6156,11.62,11.645,11.58,11.615,11.6086,11.66,11.565,11.5474,11.58,11.626,11.7275,11.67,11.66,11.62,11.725,11.72,11.615,11.6,11.655,11.755,11.8801,11.95,11.79,11.735,11.69,11.705,11.64,11.58,11.6079,11.5903,11.7061,11.6381,11.575,11.525,11.41,11.44,11.39,11.44,11.51,11.545,11.5444,11.6,11.6829,11.5,11.57,11.7171,11.709,11.7399,11.62,11.74,11.6538,11.6,11.8809,11.99
273.25,273.255,273.47,272.92,272.6297,272.0619,271.43,270.925,270.74,269.59,269.15,269.1,269.9,269.75,269.9,269.09,269.32,269.605,269.405,269.1,269.32,268.8875,269.4299,269.31,269.4644,269.29,268.66,268.66,268.61,268.53,268.19,267.85,268.06,267.645,268.31,268.132,268.39,267.97,268.51,268.17,267.92,267.91,268.2359,268.64,268.82,269.0401,268.34,268.68,267.81,268.579,268.98,268.56,268.53,268.1,267.9666,267.63,267.14,266.47,266.0182,266.425,266.82,266.6945,267.31,266.8942,267.38,268.04,267.65,267.52,267.79,268.72,268.835,268.465,267.3,267.18,267.445,268.16,269.535,268.2
320.8,320.595,319.945,319.68,319.48,319.26,318.66,319.215,318.96,317.695,317.84,318.02,318.49,318.7,318.34,317.32,317.89,318.02,317.59,317.54,317.55,317.06,318.0867,318.2574,317.94,318.36,317.565,317.295,317.2,316.88,316.55,316.04,316.46,316.145,316.88,316,315.71,315.76,316.78,316.37,316.185,316.27,316.41,316.79,316.46,315.99,315.215,315.61,315.0996,315.3207,315.65,314.33,314.89,315.5957,316.24,315.345,314.3,314.34,314.1601,314.71,314.73,314.32,315.6614,314.58,314.46,314.74,314.98,314.95,316,316.77,317.04,315.9203,314.1,315.53,315.2,316.43,318.05,316.615
99.68,99.62,99.71,99.7,99.92,100.1,99.9,99.95,99.87,99.39,99.335,99.285,99.3,99.145,98.915,98.69,98.855,99.115,98.96,98.97,99.03,98.85,99.01,98.95,98.96,99.02,98.8,98.96,98.79,98.5,98.35,98.265,98.29,98.25,98.25,98.07,98.24,97.99,98.45,98.345,98.28,98.3,98.67,98.87,98.708,98.505,98.26,98.13,98.13,98.36,98.465,98.06,98.14,98.19,98.44,98.28,98.01,98,98.205,98.63,99.01,98.7984,98.83,98.74,98.59,98.74,98.6,98.12,98.445,98.59,98.85,98.17,97.7,98.16,98.05,98.49,99.13,98.23
139.54,139.49,139.25,139.1,138.48,138.5,137.85,137.819,137.96,137.18,137.09,136.91,137.26,137.155,137.28,136.84,136.83,137.19,136.86,136.9592,137.04,136.97,137.42,137.73,137.86,137.63,137.27,137.1045,136.96,136.76,136.63,136.365,136.55,136.647,136.92,136.67,136.63,136.77,137.34,137.25,137.32,137.61,137.98,137.79,137.9025,137.69,137.77,137.32,136.69,136.94,136.87,136.351,136.615,136.875,137.165,136.62,136.32,136.19,136.17,136.59,137.28,137.3871,137.28,136.72,136.9,137.58,137.52,137.54,137.63,138.15,138.51,139.18,137.95,139.08,139.58,140.02,140.84,139.2568
160.95,161.25,161.13,160.72,160.15,160.4,159.87,159.8087,159.97,158.775,158.82,158.85,159.02,158.89,159.1,159.04,159.12,159.3,159.35,159.45,159.34,159.09,159.38,159.52,159.7,159.97,159.53,159.47,159.42,159.305,159.17,159.01,159,159.24,159.1,159.275,159.16,158.99,159.15,159.075,158.805,159.09,159.21,158.655,158.23,158.403,158.375,158.5,157.75,157.78,157.74,157.081,157.38,157.732,157.95,157.81,157.4267,156.9615,157.02,157.93,158.14,157.75,158.39,158.17,158.92,158.45,159.08,159.21,159.695,160.65,161.01,161.105,160.52,161.53,160.33,160.3951,161.62,161.8114
185.73,185.08,184.7765,184.82,184.48,184.57,184.475,184.16,184.06,182.51,181.925,181.77,182.53,182.91,183.01,182.85,183.1243,183.83,183.04,183.41,183.9573,183.9177,184.31,184.9643,184.695,185.91,184.895,184.51,183.69,183.27,183.565,182.25,182.56,182.5,182.7,183.2799,183.23,182.89,183.73,183.4624,184.16,183.995,184.84,185.2,185.37,185.665,184.32,183.62,183.88,183.9128,184.0175,184.0499,184.415,184.65,184.98,182.8908,182.6286,180.9,179.72,180.33,180.85,180.53,180.472,178.9,181.02,183.385,185,184.81,185.52,185.95,185.813,186.14,184.74,184.9,185.09,184.95,186.815,185.5
96.54,96.46,96.9,96.8,96.77,97.08,96.32,96.21,96.19,96,95.95,95.9929,96.21,96.27,96.34,96.01,95.9,95.95,95.99,96.04,96.03,95.9,95.81,95.89,95.95,95.76,95.85,95.5817,95.41,95.355,95.34,95.085,95.46,95.31,95.68,95.65,95.78,95.75,95.81,95.6,95.73,95.6,95.5,95.54,95.54,95.4197,95.45,95.62,95.59,95.73,95.6,95.455,95.44,95.35,95.51,95.57,95.46,95.59,95.29,95.42,95.5,95.34,95.35,95.22,95.17,95.27,95.26,95.24,95.3899,95.355,95.245,95.5231,95.2,95.25,95.72,95.89,96.36,96.6
49.89,49.82,49.83,49.77,49.81,49.8115,49.64,49.5749,49.6,49.27,49.21,49.26,49.41,49.37,49.4,49.25,49.31,49.405,49.29,49.31,49.34,49.2,49.42,49.51,49.51,49.65,49.48,49.5504,49.49,49.37,49.22,49.21,49.1,49.04,49.19,49.065,49.13,49.07,49.2905,49.21,49.2,49.24,49.33,49.56,49.5199,49.35,49.07,48.98,48.7,48.81,48.82,48.55,48.61,48.58,48.71,48.53,48.46,48.635,48.5501,48.7539,48.9,48.82,49.01,48.86,48.8333,48.925,48.84,48.58,48.725,49.1,49.12,49,48.6,48.8,48.6,48.91,49.17,49.04
