2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
211.5000,215.5600,213.8400,210.5200,210.9700,204.8900,212.7400,215.2900,213.2500,209.4300,211.8600,203.0300,200.8600,200.5700,196.4000,196.4800,183.3700,186.0100,182.3100,190.4000,192.0400,185.3000,191.9000,182.3000,183.6600,170.4600,170.7000,177.6600,176.6000,182.1400,169.3000,192.3400,177.3200,195.2200,204.1100,193.5700,208.0200,211.5900,218.2200,209.4800,216.4200,205.8000,205.6400,216.4800,215.3700,221.3900,230.2700,234.7800,236.9800,234.7300,234.6400,233.9700,234.2700,232.0100,231.9700,229.2000,230.1900,228.2200,227.4700,222.3800,219.0700,222.6000,221.8100,221.4500,218.1000,222.7000,224.5900,223.8700,223.2800,223.3800,222.2800,220.1700,220.0800,220.9500,218.4300,218.9900,217.1500,215.5300,215.5600,214.1800,216.1600,212.6100,212.2100,213.6100,213.7900,211.9200,211.8100,211.7100,210.8600,209.5500,209.3900,209.2700,207.1900,206.5100,204.9800,203.9000,204.0700,205.0000,202.8300,202.4300
11.2600,10.0200,10.3100,10.2500,10.2700,11.0000,11.0600,11.5700,11.0700,12.2900,11.9450,11.5600,12.5100,11.3300,10.2200,9.5000,9.3900,10.0600,10.6900,12.1900,12.2500,14.0400,15.6600,15.3900,13.9200,10.2500,10.3800,10.2900,11.6500,15.5800,15.9200,14.3100,13.4500,16.2600,17.0000,14.7500,15.9700,16.0400,18.5300,17.8500,18.8600,19.0500,20.6000,22.3100,23.1200,25.4500,27.8200,28.5100,28.3300,28.6300,29.2000,30.0900,30.4700,29.8400,28.7900,28.3800,28.3000,29.1000,28.4300,27.1600,26.8400,27.7200,26.8000,26.9000,26.1100,27.6400,28.8000,27.3200,27.2000,28.4000,28.2300,27.5800,27.5300,27.3900,27.3200,27.9500,27.8400,27.2200,27.3200,27.6500,29.0900,28.6800,28.3000,28.4400,29.6700,29.1800,29.3000,29.0400,28.5500,28.0000,28.2800,27.9200,27.4800,27.7200,26.8600,27.0000,27.4900,27.7250,27.2400,27.3800
278.5800,283.1700,282.9700,275.0300,276.1000,268.3700,276.9300,282.8000,286.6900,284.4300,287.0500,273.2500,267.9900,266.0700,259.4300,262.4700,241.4100,244.9300,240.9100,254.2900,254.8100,247.7400,258.4400,245.5200,246.8800,224.3700,229.2400,244.7800,246.6700,252.8600,242.2100,277.9700,248.2300,275.4300,285.3400,266.1700,289.0300,292.9200,302.7400,289.3200,298.8100,273.3600,273.5200,292.6500,288.0800,298.1800,313.0500,320.3000,323.6200,319.0000,324.9500,324.8700,327.2000,319.6100,321.5500,320.0300,325.2100,321.4500,318.8500,308.6600,309.5100,323.8700,324.3400,317.6900,308.9500,318.3100,319.2300,317.7000,316.5700,318.7300,315.2400,311.3400,312.6800,316.9600,310.3300,309.6300,303.1900,298.3900,299.8000,297.4300,300.3500,293.6500,291.5200,289.8000,289.9100,284.2700,284.0000,279.4400,280.0200,279.7400,280.4100,279.8600,275.1500,271.4600,270.7700,268.4800,266.9200,270.7100,265.5800,261.7400
333.4500,348.5000,344.1000,335.3700,336.7700,328.9900,344.8800,344.1100,342.7000,332.5500,340.7650,320.6500,318.7000,317.1800,308.9300,319.1300,293.6100,303.9600,301.2100,318.2400,318.3900,305.8300,322.6700,305.9100,310.0000,307.2700,295.3400,307.5100,294.6100,311.8100,286.0300,335.5000,285.0000,315.2300,332.3800,305.7900,336.7700,351.0300,363.8500,348.3400,360.2800,345.1200,337.5200,351.3400,347.8000,357.4100,372.9500,378.9600,383.2800,378.8500,379.6700,374.8400,374.2900,369.2800,370.0000,366.0900,367.4600,365.5500,366.7400,358.0000,351.1400,356.7400,351.6600,354.6300,346.9000,351.3700,351.7600,350.0600,350.0000,349.7400,345.3800,342.9400,344.6300,345.6300,339.8100,340.4500,337.8700,333.3900,333.7100,331.8100,334.4300,329.8100,328.3400,330.7900,331.2000,329.6400,328.9500,327.6100,327.6300,324.3800,322.8500,323.8000,317.9400,305.9600,303.7400,304.1700,307.0500,306.2300,303.0300,302.5100
107.6100,108.0300,105.9200,101.8100,102.1200,96.4700,100.9100,102.8000,101.8300,100.4500,103.0200,99.6700,98.7900,101.4000,96.2500,95.8000,86.5600,87.7000,84.0900,89.6500,90.9700,88.6700,92.6200,94.3600,93.7300,85.1600,85.0800,90.3200,82.2300,95.4400,83.2100,99.7900,90.0100,94.4100,102.4400,97.5100,107.0000,108.8700,112.4600,107.2000,111.2700,109.0500,107.7200,114.8400,114.6600,117.3600,122.7600,124.5500,123.8900,118.5700,117.6500,118.8800,118.8100,116.8800,112.9000,112.2700,115.7900,116.6800,112.4600,110.0000,109.7500,112.3700,113.2300,114.3100,112.2100,117.5700,120.8600,120.4200,119.3100,119.4700,119.1300,117.5100,119.5300,119.0600,118.5700,120.6600,120.6600,119.5800,116.9200,118.3100,120.4300,118.8400,118.8600,119.4500,119.7300,119.7200,119.1700,119.8200,118.7000,117.0000,118.8200,118.8600,118.7700,117.8100,115.8500,114.4100,114.6200,115.8900,113.4300,114.3900
143.0100,142.2200,139.2300,135.9200,138.7000,133.6100,139.8200,141.0800,136.9200,137.6400,143.8700,139.5300,142.5200,138.5300,136.9600,139.6500,128.5700,131.5500,129.7200,136.6800,137.8200,131.3800,137.0600,122.5900,120.9600,109.0700,112.0600,117.3700,117.6000,129.3900,122.4600,144.5000,130.2800,148.0100,154.4200,150.9200,159.1500,160.6700,164.3900,155.2400,163.0000,154.7400,157.5300,166.3300,167.1800,174.5400,178.5800,180.7700,181.2500,179.9300,181.2500,180.1100,178.0300,177.9700,179.3600,179.1000,180.2600,178.6200,175.9200,173.9400,171.3900,175.0050,171.0400,178.3000,175.7400,177.2100,177.8300,178.3300,176.2000,176.8700,174.8800,172.8100,171.2300,172.3600,171.0900,171.2100,169.7100,168.1300,170.1900,169.9600,170.3200,170.5000,169.5900,170.7700,170.3500,169.9100,170.0200,171.0900,168.7400,167.5600,168.3200,168.5900,168.2600,167.1600,167.2400,168.4300,169.0700,169.9800,168.3600,168.5700
177.3100,182.5100,180.3500,175.5500,175.3700,170.0200,177.8700,180.9400,171.0000,169.1400,172.2200,160.9200,164.9000,159.2100,148.7000,152.3200,139.0000,137.0500,139.2200,156.1000,155.9100,141.5700,160.8800,149.9900,149.9600,144.1400,148.0200,149.2300,141.8200,154.9200,148.0800,158.0300,136.0000,154.4000,164.4800,160.0500,173.4200,184.0400,191.4200,180.5500,190.8300,190.8800,180.6500,190.6700,186.7300,194.3700,201.9100,206.6700,210.7600,207.0600,208.9500,207.5100,207.1100,205.8000,206.1000,207.0100,206.0000,202.0800,203.9400,199.2600,196.8500,198.9900,199.7400,200.0300,195.8700,199.1900,198.6000,194.7300,195.8400,193.3500,192.5000,190.7900,191.1100,192.4500,192.3600,191.9400,189.9500,187.5000,187.1200,184.9500,187.8300,183.4600,183.3000,185.3800,184.2400,183.9100,182.9200,182.8400,183.7800,183.7500,181.4900,184.3700,179.4100,177.9000,179.6400,178.4600,178.8300,179.3200,176.6300,176.4000
203.5100,196.6700,191.9700,188.5700,190.0300,187.2600,196.7100,193.0000,180.3400,183.8300,190.0000,185.7200,193.1900,184.4100,174.5500,176.7400,154.2000,152.0700,157.2000,173.9500,179.9200,177.0400,191.6400,183.6800,165.2800,137.7200,144.8200,142.2300,145.7600,169.2500,161.7200,195.8800,180.1200,202.1800,228.1600,216.8400,225.1700,230.6900,234.7000,224.5600,230.2200,218.3500,223.9700,227.5400,229.6100,240.1100,260.2600,272.4900,277.1500,269.9300,274.9500,272.9700,273.6100,264.4600,259.0300,258.6700,266.7600,267.5000,256.5200,253.0200,257.1000,262.8900,261.6000,267.8200,260.9100,269.9800,270.7800,279.3100,273.1700,280.7000,285.0300,274.1000,287.6100,298.0700,293.3300,296.5400,286.0000,283.0600,285.8800,280.4400,283.6800,279.0400,275.6300,277.6400,278.2600,277.8900,278.1400,272.8900,273.7500,272.6100,268.2900,270.0100,266.0600,268.3900,275.2300,273.6500,273.4600,275.7200,274.5300,277.7100
106.9200,110.8600,108.1200,104.1400,103.9100,103.3900,106.7200,103.4800,98.6000,96.9400,99.4000,96.5400,96.2300,98.5600,94.7200,95.9100,89.7700,90.3500,89.9300,89.7900,87.2600,84.0100,86.1400,84.4700,85.9300,81.1300,80.3500,83.5000,82.5000,82.3600,75.5600,80.4400,76.7100,83.7700,88.8400,86.4200,91.9800,94.1800,97.2200,93.7200,96.1600,94.0300,92.0900,94.7800,96.1400,99.0200,103.1400,102.5400,103.2100,102.1600,102.5600,103.4200,105.1900,102.4600,101.0100,100.5600,104.0400,103.6500,102.9400,100.8500,99.3900,100.3000,106.9400,106.9700,105.3000,105.2700,108.5500,111.4000,113.0100,113.2700,112.5100,112.5300,112.7900,113.9200,109.4800,110.7400,108.5800,106.8500,106.5800,106.4100,107.8400,108.1500,107.3400,108.5500,108.9300,110.2800,110.4600,109.7500,111.2400,109.2000,109.8200,111.3700,110.4200,112.4700,109.5000,111.2000,112.4800,113.8900,107.4200,115.4500
50.4200,51.0300,51.7400,50.9000,52.1100,48.3300,50.6300,53.2000,52.2300,50.3700,52.4700,49.8800,49.5900,51.4600,47.5600,46.1500,42.2800,43.2400,43.3000,45.8200,47.3000,45.0500,49.2000,44.7300,45.1400,40.1700,37.9900,40.1900,39.1800,44.8600,40.5300,50.8900,45.1100,52.4900,56.1700,52.0700,57.7900,59.1300,60.5200,58.0400,60.1600,58.1200,57.0000,59.8100,58.8600,61.0800,64.2700,66.4000,67.4100,65.1600,66.8500,67.3700,65.3700,64.4500,62.9200,61.7100,63.1900,63.8000,63.0100,59.7200,57.9900,60.2500,59.8200,60.1900,59.0500,62.0000,63.8900,63.8900,63.2000,62.8500,63.2100,61.9300,62.3500,61.8100,61.4700,61.9700,61.5800,61.6200,59.8900,61.2100,62.2000,61.0400,60.9300,61.1700,61.3100,61.5000,61.0800,61.8100,60.6700,60.3800,60.7900,59.9600,59.8700,60.3600,59.0400,56.6200,56.6000,56.6000,55.8400,56.0900
