4/13/2020 16:00,4/13/2020 15:55,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:15,4/13/2020 15:10,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:55,4/13/2020 14:50,4/13/2020 14:45,4/13/2020 14:40,4/13/2020 14:35,4/13/2020 14:30,4/13/2020 14:25,4/13/2020 14:20,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 14:00,4/13/2020 13:55,4/13/2020 13:50,4/13/2020 13:45,4/13/2020 13:40,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:25,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:10,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:45,4/13/2020 12:40,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:15,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:55,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:30,4/13/2020 11:25,4/13/2020 11:20,4/13/2020 11:15,4/13/2020 11:10,4/13/2020 11:05,4/13/2020 11:00,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:40,4/13/2020 10:35,4/13/2020 10:30,4/13/2020 10:25,4/13/2020 10:20,4/13/2020 10:15,4/13/2020 10:10,4/13/2020 10:05,4/13/2020 10:00,4/13/2020 9:55,4/13/2020 9:50,4/13/2020 9:45,4/13/2020 9:40,4/13/2020 9:35
275.58,275.45,276.36,275.96,275.67,275.55,274.85,274.69,274.86,273.63,273.4099,273.4,274.27,273.9725,274.04,273.37,273.495,273.8634,273.5969,273.5,273.785,273.19,274.0115,274.32,274.12,274.365,273.74,273.98,273.77,273.28,272.89,272.75,272.94,272.76,273.435,273.04,273.29,273.128,274.076,273.8675,273.61,273.63,274.162,274.61,274.93,274.77,274.2583,274.38,273.6173,273.9,273.8,272.9301,273.179,273.195,273.5,272.955,272.55,272.209,271.6437,272.34,272.7298,272.32,272.67,272.48,272.73,273.53,273.48,272.87,273.69,274.81,275.1699,275.18,274.17,274.64,274.44,275.14,276.64,276.07
273.25,273.255,273.47,272.92,272.6297,272.0619,271.43,270.925,270.74,269.59,269.15,269.1,269.9,269.75,269.9,269.09,269.32,269.605,269.405,269.1,269.32,268.8875,269.4299,269.31,269.4644,269.29,268.66,268.66,268.61,268.53,268.19,267.85,268.06,267.645,268.31,268.132,268.39,267.97,268.51,268.17,267.92,267.91,268.2359,268.64,268.82,269.0401,268.34,268.68,267.81,268.579,268.98,268.56,268.53,268.1,267.9666,267.63,267.14,266.47,266.0182,266.425,266.82,266.6945,267.31,266.8942,267.38,268.04,267.65,267.52,267.79,268.72,268.835,268.465,267.3,267.18,267.445,268.16,269.535,268.2
80.38,80.05,80.2,80.2199,80.23,80.29,79.83,79.8935,79.96,79.6857,79.595,79.5472,79.83,79.72,79.64,79.365,79.54,79.55,79.45,79.4402,79.47,79.24,79.38,79.44,79.43,79.55,79.25,79.29,79.43,79.24,79.355,79.29,79.2807,79.3,79.47,79.239,79.45,79.49,79.87,79.75,79.6891,79.68,79.965,79.99,80.1869,80.2,80.09,80.2,79.63,79.76,79.65,79.37,79.39,79.3,79.2975,79.26,79.13,79.085,78.71,79.06,79.42,79.34,79.43,79.56,79.55,79.87,80.05,79.785,80.225,80.602,80.5,80.45,80.5,80.55,80.1759,80.54,80.9603,80.5903
85.9,85.77,86.11,86.09,86.22,86.02,85.85,85.8,85.77,85.34,85.32,85.33,85.65,85.61,85.56,85.3867,85.1825,85.23,85.01,84.86,84.91,84.66,85.05,85.3113,85.51,85.46,85.39,85.4688,85.49,85.14,85.17,84.9743,84.6699,84.5828,84.75,84.58,84.44,84.4284,84.6,84.491,84.48,84.66,84.885,84.96,84.847,84.698,84.5,84.5,84.36,84.3,84.485,84.195,84.41,84.4846,84.37,84.46,84.39,84.3,83.94,84.0447,84.02,83.7936,83.9861,83.73,83.87,84.13,84.21,84.31,84.62,84.84,85.01,85.29,85.72,85.61,85.375,85.7308,86.05,86.3391
172.7,172.525,172.9,172.54,172.35,172.45,171.81,171.3903,171.37,170.65,170.3,170.425,170.79,171.01,170.86,170.42,170.425,170.49,170.47,170.497,171.04,170.61,171.125,171.32,171.39,171.33,170.97,171.17,171.04,171.14,170.65,170.47,170.67,170.515,171.11,171.08,171.14,171.01,171.5,171.48,171.27,171.4,171.875,171.96,172.3377,172.115,171.85,171.75,171.05,171.155,171.39,170.71,170.86,170.9036,171.62,170.85,170.61,170.43,169.86,169.98,170.05,169.99,170,170,169.94,170.73,170.72,170.65,171.21,171.73,172.07,172.23,172.4,172.6616,172.97,174.41,175.59,174.09
320.8,320.595,319.945,319.68,319.48,319.26,318.66,319.215,318.96,317.695,317.84,318.02,318.49,318.7,318.34,317.32,317.89,318.02,317.59,317.54,317.55,317.06,318.0867,318.2574,317.94,318.36,317.565,317.295,317.2,316.88,316.55,316.04,316.46,316.145,316.88,316,315.71,315.76,316.78,316.37,316.185,316.27,316.41,316.79,316.46,315.99,315.215,315.61,315.0996,315.3207,315.65,314.33,314.89,315.5957,316.24,315.345,314.3,314.34,314.1601,314.71,314.73,314.32,315.6614,314.58,314.46,314.74,314.98,314.95,316,316.77,317.04,315.9203,314.1,315.53,315.2,316.43,318.05,316.615
183.71,183.6025,183.7,183.66,183.56,183.56,183.1684,183.1699,183.15,182.8812,182.67,182.69,183.07,183.02,182.9699,182.62,182.77,182.69,182.73,182.68,182.66,182.48,182.6,182.64,182.85,182.94,182.32,182.2,182.35,182.29,182.27,182.29,182.18,182.28,182.47,182.49,182.42,182.38,182.68,182.595,182.585,182.79,182.87,182.9,183.1,183.05,182.99,182.97,182.64,182.54,182.51,182.28,182.38,182.32,182.48,182.42,182.29,182.185,181.69,182.16,182.54,182.32,182.3121,182.44,182.44,182.74,182.84,182.55,183.12,183.5,183.23,183.22,183.33,183.29,183.02,183.19,183.72,183.09
25.62,25.66,25.76,25.77,25.7,25.6,25.51,25.505,25.45,25.39,25.32,25.37,25.49,25.36,25.43,25.35,25.37,25.44,25.41,25.47,25.55,25.555,25.76,25.77,25.69,25.77,25.615,25.7767,25.79,25.63,25.43,25.39,25.3,25.27,25.29,25.25,25.31,25.26,25.33,25.2099,25.2375,25.23,25.4,25.465,25.54,25.54,25.5,25.24,25.22,25.21,25.18,25.04,25.124,25.08,25.03,24.88,24.745,24.65,24.43,24.63,24.54,24.61,24.882,24.81,25.02,25.195,25.22,24.76,25.08,25.21,25.22,25.54,25.5,25.48,25.16,25.4,25.5942,25.97
97.96,98.2599,98.785,98.7977,98.4,98.34,98.15,98.31,98.09,97.615,97.53,97.42,97.77,97.77,97.675,97.57,97.59,97.77,97.775,97.655,97.69,97.54,97.98,98.0475,98.03,98.13,98.03,98.14,98.3025,98.13,98.15,98.14,98.17,98.06,98.6288,98.37,98.44,98.43,98.81,98.51,98.285,98.47,98.85,98.94,99.14,99.04,98.88,98.7,98.49,98.57,98.46,98.02,98.415,98.26,98.385,98.28,98.39,98.29,98.09,98.445,98.87,98.79,99.07,98.765,99.08,99.09,99.03,98.49,98.96,99.85,99.98,99.95,99.24,99.55,99.41,100.02,100.17,100.52
218.52,217.79,219.05,218.245,218.62,218.26,217.39,217.48,217.31,216.6973,216.55,216.65,216.85,216.68,216.65,216.17,216.03,216.25,215.91,215.82,215.74,215.61,215.95,216.355,216.4533,216.84,216.475,216.4424,216.545,216.12,215.53,215.215,215.41,215.5,216.05,215.85,216.52,216.17,216.84,216.8,216.69,216.7,216.695,216.69,216.82,216.6294,216.5,217.03,216.48,216.53,216.62,216.3,216.55,216.69,216.285,216.1,215.87,216.1008,216.41,216.32,216.56,216.2,216.5682,216.245,216.03,216.54,216.31,216.135,216.7,216.8429,217.32,217.3,216.8884,217.07,216.855,217.04,217.31,217.48
