2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-24,2020-01-23,2020-01-22,2020-01-21,2020-01-17,2020-01-16,2020-01-15,2020-01-14,2020-01-13,2020-01-10,2020-01-09,2020-01-08,2020-01-07,2020-01-06,2020-01-03,2020-01-02,2019-12-31,2019-12-30,2019-12-27,2019-12-26,2019-12-24,2019-12-23,2019-12-20,2019-12-19,2019-12-18,2019-12-17,2019-12-16,2019-12-13,2019-12-12,2019-12-11,2019-12-10,2019-12-09,2019-12-06,2019-12-05,2019-12-04
285.6900,287.0500,282.9700,279.0800,279.1000,273.0400,281.5900,286.6400,279.1000,277.7600,283.7900,275.6600,278.2000,274.0300,265.1300,264.8600,248.1900,251.8300,246.1500,257.7500,261.6500,253.4200,261.2000,246.7900,243.1500,222.9500,228.8000,240.5100,240.0000,252.8000,239.8500,269.3200,248.1100,274.3600,288.4200,274.2300,297.4600,302.4600,312.8600,300.2400,309.0900,296.2600,297.5100,311.5000,312.6500,322.4200,333.4800,336.9500,338.3400,336.7300,337.6000,337.0600,337.4200,335.2600,334.6800,332.2000,333.9800,332.8600,329.0600,324.1200,321.7300,327.6800,326.6200,326.8900,323.5000,328.7700,331.7200,331.3400,331.3000,331.9500,330.9200,328.1900,327.4500,327.9500,325.7100,326.6500,324.4500,322.7300,323.6400,322.4100,324.8700,321.8600,321.0800,322.8600,322.9400,321.2300,321.2200,320.7300,320.9000,319.5900,319.5700,319.5000,317.3200,317.1300,314.4200,313.5300,313.8800,314.8700,312.0200,311.4600
278.5800,283.1700,282.9700,275.0300,276.1000,268.3700,276.9300,282.8000,286.6900,284.4300,287.0500,273.2500,267.9900,266.0700,259.4300,262.4700,241.4100,244.9300,240.9100,254.2900,254.8100,247.7400,258.4400,245.5200,246.8800,224.3700,229.2400,244.7800,246.6700,252.8600,242.2100,277.9700,248.2300,275.4300,285.3400,266.1700,289.0300,292.9200,302.7400,289.3200,298.8100,273.3600,273.5200,292.6500,288.0800,298.1800,313.0500,320.3000,323.6200,319.0000,324.9500,324.8700,327.2000,319.6100,321.5500,320.0300,325.2100,321.4500,318.8500,308.6600,309.5100,323.8700,324.3400,317.6900,308.9500,318.3100,319.2300,317.7000,316.5700,318.7300,315.2400,311.3400,312.6800,316.9600,310.3300,309.6300,303.1900,298.3900,299.8000,297.4300,300.3500,293.6500,291.5200,289.8000,289.9100,284.2700,284.0000,279.4400,280.0200,279.7400,280.4100,279.8600,275.1500,271.4600,270.7700,268.4800,266.9200,270.7100,265.5800,261.7400
82.7600,84.6900,83.5900,82.0400,81.4700,80.3600,83.9900,83.4500,81.8600,81.8200,82.1300,80.3000,79.7500,78.5600,75.3900,75.7300,73.3700,75.1300,73.4200,76.1900,75.2400,72.6700,73.8300,67.9100,67.4900,64.5000,68.8200,71.0600,71.0300,73.0200,74.2700,85.3700,78.6100,84.8500,87.5300,85.2700,88.8200,90.6100,91.7500,87.5700,88.6900,85.7100,85.4200,88.4100,89.1800,93.1400,94.9600,94.2300,94.1400,93.6100,94.0500,95.3500,97.7900,96.0000,94.7500,92.2900,87.1800,86.6300,84.3600,82.3000,81.0200,81.7800,83.2000,83.7700,84.0200,83.5400,85.2700,87.2100,87.9900,88.0000,89.2600,89.2600,88.2000,88.5200,89.0600,90.2100,89.5200,88.8900,89.4000,88.7000,89.5500,88.5400,88.5200,89.2000,89.8300,89.8500,90.2500,89.2900,88.7700,89.3300,90.0800,89.4300,87.8400,88.7300,86.7000,86.5600,86.4400,86.9800,86.7200,87.2000
91.4600,94.9500,94.0600,93.9400,95.4800,94.0500,98.0000,96.0100,96.0000,90.9400,89.1400,85.8500,86.0400,84.9500,81.9300,82.7300,79.4500,79.4400,76.5700,78.9100,79.3400,74.5600,75.8100,70.7500,69.6900,62.8200,68.0000,74.5000,79.2600,79.4900,73.6600,81.6500,74.7400,78.0900,80.8800,77.0200,81.7400,80.5200,82.0900,77.9900,81.6100,77.0300,79.1900,81.3600,81.1300,84.6300,87.4500,88.4600,89.3600,88.8800,89.6600,88.6800,88.7900,89.1700,88.3000,87.8700,89.4700,89.5600,88.2300,87.0600,87.1400,89.1600,89.1400,89.5400,89.5900,90.4000,90.7300,91.8600,89.7300,89.0000,88.2800,87.3800,85.7400,85.1200,85.3600,86.4400,86.2100,85.8600,86.3400,85.8900,86.9500,86.8600,86.8000,87.4000,87.2800,87.2800,87.3500,86.6600,87.3500,86.9300,87.0600,86.4000,86.3500,85.9700,84.9100,84.5600,83.8700,85.4800,85.2400,85.1800
178.3600,179.4300,175.4600,172.9000,172.3100,166.2400,174.7400,175.0900,167.9500,169.4500,178.1000,172.5700,177.9200,171.7300,164.1200,166.0500,152.1500,156.2700,154.6800,163.2600,169.8200,162.8800,171.3400,151.8200,156.8500,143.6900,149.9400,158.5000,151.1500,157.7100,152.5400,166.5100,152.5300,165.1100,174.5600,164.1100,178.7500,182.5600,188.8600,182.2200,189.5500,180.5900,186.4400,195.6700,197.1000,204.3600,211.8900,213.9000,215.9200,213.7600,212.3700,212.4000,211.9900,212.1400,212.5500,211.5800,214.1600,212.2200,212.5300,207.8000,205.2100,208.3700,207.9600,210.2400,206.5500,208.5700,210.6800,209.4100,209.1500,209.2000,208.9800,207.2600,207.7300,209.5900,207.6600,206.1500,204.3300,203.9300,208.4300,209.8000,210.1500,210.5700,210.6400,212.2200,212.0500,211.6100,210.8300,211.1000,208.3000,205.7600,203.4000,205.0000,206.6600,203.9200,202.3000,201.8800,202.0300,202.5500,199.8500,199.5800
333.4500,348.5000,344.1000,335.3700,336.7700,328.9900,344.8800,344.1100,342.7000,332.5500,340.7650,320.6500,318.7000,317.1800,308.9300,319.1300,293.6100,303.9600,301.2100,318.2400,318.3900,305.8300,322.6700,305.9100,310.0000,307.2700,295.3400,307.5100,294.6100,311.8100,286.0300,335.5000,285.0000,315.2300,332.3800,305.7900,336.7700,351.0300,363.8500,348.3400,360.2800,345.1200,337.5200,351.3400,347.8000,357.4100,372.9500,378.9600,383.2800,378.8500,379.6700,374.8400,374.2900,369.2800,370.0000,366.0900,367.4600,365.5500,366.7400,358.0000,351.1400,356.7400,351.6600,354.6300,346.9000,351.3700,351.7600,350.0600,350.0000,349.7400,345.3800,342.9400,344.6300,345.6300,339.8100,340.4500,337.8700,333.3900,333.7100,331.8100,334.4300,329.8100,328.3400,330.7900,331.2000,329.6400,328.9500,327.6100,327.6300,324.3800,322.8500,323.8000,317.9400,305.9600,303.7400,304.1700,307.0500,306.2300,303.0300,302.5100
187.3500,188.2400,186.9000,185.5500,185.3400,184.0400,187.3900,187.0000,185.1900,185.7100,186.7300,183.8300,182.2000,181.0800,178.2600,178.1500,175.7100,177.5400,174.9000,177.1000,176.3100,173.0000,175.5400,169.0000,170.8500,167.7000,170.8800,171.2600,169.2300,171.8400,164.7000,183.8500,174.5700,185.5000,189.2100,185.4600,191.9500,192.8900,195.9400,191.9400,193.8400,190.6700,189.5200,193.1900,193.7300,198.1700,200.1500,198.7400,198.8100,198.0000,198.3200,199.2600,202.1000,200.9900,199.6500,197.0500,192.8800,192.1000,190.1600,188.4400,186.6400,187.6100,188.8000,189.2500,189.0000,188.1900,190.6000,191.6600,192.5800,192.6800,193.8300,193.8500,192.5400,191.3800,191.8300,192.6500,191.1500,190.4700,191.5000,191.0800,192.2400,191.1700,190.5700,191.4000,191.5800,191.4200,191.5300,190.3000,189.6100,190.3400,190.6300,190.1200,188.3400,188.2700,186.6400,185.6100,185.2700,186.3700,186.0800,186.6600
25.2800,24.1800,23.3500,22.6600,22.2600,22.2500,23.7500,24.5000,23.1800,24.0800,25.7800,25.6300,26.5400,24.1300,23.2600,21.5200,20.4600,21.2500,21.6100,24.2500,25.7100,25.5100,27.5100,25.7200,22.9300,19.3000,19.2300,20.6000,18.7800,22.2500,23.2500,28.5000,25.6700,32.4300,35.0700,32.8100,37.8400,40.6500,42.5400,41.4900,42.8500,42.1600,43.4100,45.0000,45.2400,45.7000,48.6000,49.8000,49.4100,49.0100,48.4800,50.9300,54.2800,54.4700,54.1400,53.4600,53.4100,52.4800,50.6500,51.1600,50.2600,51.3000,50.3500,50.4100,50.1300,51.0600,51.6100,52.2600,51.6700,52.9000,52.3600,51.7800,52.3400,52.6200,52.0300,52.2800,51.7100,51.1100,51.4000,51.3600,51.7600,51.3300,51.0000,51.0700,50.6200,50.9400,50.9700,51.5400,51.9300,51.9700,51.7900,51.9000,51.6000,51.0300,50.4100,51.0800,51.5800,51.8600,51.1400,51.1100
101.8400,103.0900,101.4400,99.4500,101.9900,100.0900,102.7200,104.9200,99.9300,97.9400,102.4400,98.0000,100.3400,97.2500,92.5300,93.5200,85.9600,85.7900,86.4000,91.7300,94.6400,88.4600,89.5000,83.0000,77.9200,73.2300,73.8700,74.6900,75.5500,87.9400,84.9800,92.7700,83.8000,92.7700,99.2600,95.6100,107.1400,108.4600,114.5100,109.2000,112.6700,105.2500,109.9200,115.7300,117.3100,120.5400,123.6200,123.4600,124.2600,124.3000,125.5700,124.8900,123.7800,125.1000,123.9500,124.4300,123.8900,124.6700,119.9500,119.0500,118.5400,119.8800,118.3600,117.5400,116.5800,118.2800,118.1500,117.6500,117.8000,117.5500,116.1500,114.2600,113.8000,114.4800,113.4500,113.7800,112.5000,112.1900,113.1600,112.8300,112.8200,112.4500,111.7700,111.8700,111.6000,111.1700,110.8800,111.5800,111.2100,109.6500,109.8500,109.6200,109.7000,110.3500,109.5900,110.7400,111.3200,111.1000,109.5400,110.1400
237.6700,242.4300,236.2800,232.4900,229.2900,230.7500,236.6000,234.9700,230.9000,221.8000,226.8000,218.2700,218.2100,219.1900,208.7800,211.5800,205.4100,208.8800,197.8100,202.7300,208.4800,198.2700,198.4900,193.1400,202.3400,185.9300,188.2500,198.7600,204.8800,207.8000,188.6800,202.1000,182.2400,198.6500,206.8000,198.3700,210.6500,212.1200,215.1100,204.4200,212.2000,199.7300,203.5000,214.5400,210.3800,217.8800,222.7900,222.1400,222.9600,221.6900,223.4800,223.0400,227.0000,228.9600,227.4200,229.3300,231.4500,231.9400,221.8100,216.8800,216.0500,226.1500,227.1500,224.8400,222.9500,225.5900,235.0400,236.7500,237.6000,241.4900,240.5000,241.7000,240.0000,236.9200,238.2600,238.9300,238.2200,238.0400,240.3000,238.4700,240.1000,241.0700,240.2700,241.5300,241.9000,242.3300,243.0300,243.0600,241.8400,241.9400,242.8400,243.2000,236.7400,235.9900,234.0100,233.8400,232.8200,233.7700,233.4100,233.8800
