Tick,Company Name,Price,Market Cap
QQQ,QQQ main index,170,1123123
AAL,American Airlines Group Inc,10.06,4286153718
AAPL,Apple Inc.,244.93,1.07E+12
ADBE,Adobe Inc,303.96,1.46E+11
ADI,Analog Devices Inc.,87.7,32292892876
ADP,Automatic Data Processing,131.55,56797240017
ADSK,Autodesk Inc.,137.05,30085353719
ALGN,Align Technology Inc.,152.07,11975969286
ALXN,Alexion Pharmaceuticals Inc.,90.35,20066734661
AMAT,Applied Materials Inc.,43.24,39707509741
AMD,Advanced Micro Devices Inc.,44.49,52091207445
AMGN,Amgen Inc.,208.88,1.23E+11
AMZN,Amazon.com Inc.,1918.83,9.55E+11
ANSS,ANSYS Inc.,216.2,18574606537
ASML,ASML Holding NV,247.28,1.08E+11
ATVI,Activision Blizzard Inc.,60.78,46753312221
AVGO,Broadcom Inc,237.06,94774453483
BIDU,Baidu Inc,99.59,34443020971
BIIB,Biogen Inc,304.47,52997266292
BKNG,Booking Holdings Inc,1260,51737880600
BMRN,BioMarin Pharmaceutical Inc.,86.06,15484431120
CDNS,Cadence Design Systems Inc,65.93,18471476325
CDW,CDW common stock,87.97,12559609029
CERN,Cerner Corporation,61.96,18851081881
CHKP,Check Point Software Technologies Ltd.,98.74,14366669689
CHTR,Charter Communications Inc,435.66,1.02E+11
CMCSA,Comcast Corporation,34.37,1.56E+11
COST,Costco Wholesale Corporation,291.48,1.29E+11
CPRT,Copart Inc.,64.41,15052939905
CSCO,Cisco Systems Inc.,39.8,1.69E+11
CSGP,CoStar Group Inc,537.7,19704016947
CSX,CSX Corporation,56.86,43822627930
CTAS,Cintas Corporation,165.19,17188019754
CTSH,Cognizant Technology Solutions Corp,44.29,24299133232
CTXS,Citrix Systems Inc.,142.52,17438462682
DLTR,Dollar Tree Inc.,70.46,16685702843
EA,Electronic Arts Inc.,102.29,29630753725
EBAY,eBay Inc,29.19,23237598977
EXC,Exelon Corporation,34.68,33775892697
EXPE,Expedia Group Inc,47.86,6699878411
FAST,Fastenal Company,30.65,17605237180
META,Facebook Inc. Common Stock,158.19,4.51E+11
FISV,Fiserv Inc,88.75,60270036250
FOX,Fox Corp Class B,21.84,13568373634
GILD,Gilead Sciences Inc.,76.98,96918978926
GOOG,Alphabet Inc Class C,1120.84,7.68E+11
IDXX,IDEXX Laboratories Inc.,239.7,20428432239
ILMN,Illumina Inc.,272.99,40129528564
INCY,Incyte Corporation,77.07,16706926253
INTC,Intel Corporation,54.35,2.32E+11
INTU,Intuit Inc.,225.22,58667332897
ISRG,Intuitive Surgical Inc.,467.72,54606310142
JD,JD.Com Inc,40.08,58736801803
KHC,Kraft Heinz Co,24.64,30104067094
KLAC,KLA Corp,132.44,20762884062
LBTYK,Liberty Global PLC Class C,15.24,9909426578
LRCX,Lam Research Corporation,220.57,32103523426
LULU,Lululemon Athletica Inc,185.49,24144306565
MAR,Marriott International Inc,63,20425545000
MCHP,Microchip Technology Inc.,64.98,15565180044
MDLZ,MONDELEZ INTERNATIONAL INC Common Stock,50.38,72191669870
MELI,Mercadolibre Inc,462.87,23009244313
MNST,Monster Beverage Corp,55.06,29561494497
MSFT,Microsoft Corporation,155.26,1.18E+12
MU,Micron Technology Inc.,41.09,45699722909
MXIM,Maxim Integrated Products Inc.,47.76,12866256987
NFLX,Netflix Inc,370.08,1.62E+11
NTAP,NetApp Inc.,39.53,8743126540
NTES,NetEase Inc,331.12,42779378889
NVDA,NVIDIA Corporation,255.47,1.56E+11
NXPI,NXP Semiconductors NV,77.78,21700697439
ORLY,O'Reilly Automotive Inc,303.49,22534738754
PAYX,Paychex Inc.,61.03,21892376012
PCAR,PACCAR Inc,60.87,21084880670
PEP,PepsiCo Inc.,123.86,1.72E+11
PYPL,Paypal Holdings Inc,93.52,1.10E+11
QCOM,QUALCOMM Inc.,68.02,77749781022
REGN,Regeneron Pharmaceuticals Inc,498.75,54872375250
ROST,Ross Stores Inc.,79.4,28258222343
SBUX,Starbucks Corporation,65,76290500000
SGEN,Seattle Genetics Inc.,118.67,20442046416
SIRI,Sirius XM Holdings Inc,4.75,20966229250
SNPS,Synopsys Inc.,128.65,19326702633
SPLK,Splunk Inc,105.28,16699513406
SWKS,Skyworks Solutions Inc,83.37,14136467775
TCOM,Trip.com Group Ltd,22.36,12421127915
TMUS,T-Mobile Us Inc,84.41,72333692345
TSLA,Tesla Inc,454.47,83672244689
TTWO,TAKE-TWO INTERACTIVE SOFTWARE INC Common Stock,119.51,13555302482
TXN,Texas Instruments Incorporated,102.02,95254540565
UAL,United Airlines Holdings Inc,23.42,5807012438
ULTA,Ulta Beauty Inc,161.35,9085457493
VRSK,Verisk Analytics Inc.,142.99,23318223836
VRSN,Verisign Inc.,181.8,21164792755
VRTX,Vertex Pharmaceuticals Incorporated,242.16,62784581989
WBA,Walgreens Boots Alliance Inc,40.32,35717955569
WDAY,Workday Inc,122.37,28389840637
WDC,Western Digital Corp,38.4,11478989256
MMM,Willis Towers Watson PLC,158.41,20390646558
XEL,Xcel Energy Inc,60.42,31700500019
XLNX,Xilinx Inc.,79.15,19695448929
