Tick,Company Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
QQQ, Nasdaq 100, 80.36, -2.66,-3.2, 7509528, -1.8,
ATVI, Activision Blizzard Inc, 80.36, -2.66,-3.2, 7509528, -1.8,
ADBE, Adobe Systems Incorporated, 263.71, -6.8,-2.51, 3780326, -2.9,
ALXN, Alexion Pharmaceuticals Inc., 133.61, -3.1,-2.27, 1159080, -.6,
ALGN, Align Technology Inc., 357.89, -17.37,-4.63, 1277245, -1.2,
GOOG, Alphabet Inc., 1168.19, -34.76,-2.89, 2209490, -10.6,
GOOGL, Alphabet Inc., 1177.07, -34.46,-2.84, 2328778, -9.0,
AMZN, Amazon.com Inc., 1909.42, -43.34,-2.22, 7256973, -18.4,
AAL, American Airlines Group Inc., 37.92, -0.88,-2.27, 5900768, -.4,
AMGN, Amgen Inc., 203.47, -3.43,-1.66, 3217172, -1.9,
ADI, Analog Devices Inc., 89.99, -1.84,-2, 4043395, -.6,
AAPL, Apple Inc., 227.99, -4.08,-1.76, 32042000, -17.2,
AMAT, Applied Materials Inc., 37.89, -1.03,-2.65, 12189377, -.9,
ASML, ASML Holding N.V., 187.46, -4.35,-2.27, 609596, -.3,
ADSK, Autodesk Inc., 152.1, -2.77,-1.79, 5202070, -.5,
ADP, Automatic Data Processing Inc., 150.22, -1.37,-0.9, 1364578, -.5,
BIDU, Baidu Inc., 210.07, -6.28,-2.9, 4032624, -1.5,
BIIB, Biogen Inc., 343.1, -9.65,-2.74, 1078672, -1.7,
BMRN, BioMarin Pharmaceutical Inc., 98.75, -0.93,-0.93, 1366023, -.1,
BKNG, Booking Holdings Inc., 1933.4, -39.23,-1.99, 443421, -1.6,
AVGO, Broadcom Inc., 248.17, -1.25,-0.5, 2564709, -.5,
CDNS, Cadence Design Systems Inc., 43.42, -1.48,-3.3, 1884743, -.4,
CELG, Celgene Corporation, 88.6, -3.27,-3.56, 5870283, -2.0,
CERN, Cerner Corporation, 64.52, -0.2,-0.31, 2647249, -.1,
CHTR, Charter Communications Inc., 324.68, -0.61,-0.19, 1714327, -.1,
CHKP, Check Point Software Technologies Ltd., 115.57, -1.12,-0.96, 933754, -.2,
CTAS, Cintas Corporation, 194.88, -1.16,-0.59, 877903, -.1,
CSCO, Cisco Systems Inc., 48.38, -0.43,-0.88, 22110874, -1.8,
CTXS, Citrix Systems Inc., 108.48, -1.95,-1.77, 1393426, -.2,
CTSH, Cognizant Technology Solutions Corporation, 76.1, -0.46,-0.6, 3380233, -.2,
CMCSA, Comcast Corporation, 35.21, 0.02,0.06, 23118434, .1,
COST, Costco Wholesale Corporation, 231.68, -1.52,-0.65, 2860375, -.6,
CSX, CSX Corporation, 74.67, -0.32,-0.43, 4514783, -.2,
XRAY, DENTSPLY SIRONA Inc., 36.19, -0.89,-2.4, 3361300, -.2,
DLTR, Dollar Tree Inc., 81.11, -0.44,-0.54, 2586456, -.1,
EBAY, eBay Inc., 32.63, -0.12,-0.37, 12293034, -.1,
EA, Electronic Arts Inc., 114.01, -2.38,-2.04, 5235515, -.6,
EXPE, Expedia Group Inc., 126.94, -2.43,-1.88, 1563407, -.3,
ESRX, Express Scripts Holding Company, 95.26, -0.08,-0.08, 2242898, .0,
FB, Facebook Inc., 158.85, -3.58,-2.2, 25739635, -7.5,
FAST, Fastenal Company, 56.79, -1.29,-2.22, 3757576, -.3,
FISV, Fiserv Inc., 80.47, -1.21,-1.48, 1751086, -.4,
GILD, Gilead Sciences Inc., 76.56, -2.44,-3.09, 7695068, -2.8,
HAS, Hasbro Inc., 101.44, -2.09,-2.02, 1383621, -.2,
HSIC, Henry Schein Inc., 87.25, 0.52,0.6, 1135113, .1,
HOLX, Hologic Inc., 40.53, -0.37,-0.9, 1623548, -.1,
IDXX, IDEXX Laboratories Inc., 231.11, -8.25,-3.45, 642791, -.6,
ILMN, Illumina Inc., 344.71, -14.89,-4.14, 1229993, -1.9,
INCY, Incyte Corporation, 66.19, -3.75,-5.36, 1377169, -.7,
INTC, Intel Corporation, 48.13, -0.63,-1.29, 30108253, -2.5,
INTU, Intuit Inc., 224.67, -6.65,-2.87, 1533437, -1.5,
ISRG, Intuitive Surgical Inc., 554.44, -7.03,-1.25, 768713, -.7,
