Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
TSM,Taiwan Semiconductor Manufacturing Company Limited,80.83,1.59,2.01%,7.078M,15.035M,419.203B,14.54
CVX,Chevron Corporation,173.83,1.31,0.76%,3.957M,8.831M,336.125B,9.89
SHEL,Shell plc,56.56,0.22,0.38%,2.67M,5.112M,205.469B,4.94
NEE,NextEra Energy Inc.,86.29,1,1.17%,1.847M,7.798M,171.432B,44.47
TTE,TotalEnergies SE,60.09,0.84,1.42%,969.587k,2.198M,154.664B,6.87
COP,ConocoPhillips,113.21,-1.67,-1.45%,4.069M,7.203M,141.055B,8.14
EQNR,Equinor ASA,36.21,0.22,0.60%,994.678k,3.342M,115.794B,4.8
PLD,Prologis Inc.,117.94,1.94,1.67%,1.985M,4.752M,108.706B,21.85
NEE-PR,NextEra Energy Inc.,50.19,0.31,0.62%,"76,401","535,280",N/A,N/A
EOG,EOG Resources Inc.,124.91,-1.25,-0.99%,2.662M,3.742M,73.347B,9.8
PBR,Petróleo Brasileiro S.A. - Petrobras,10.88,-0.2,-1.81%,11.521M,37.194M,70.96B,2.08
SLB,Schlumberger Limited,49.99,0.19,0.38%,5.359M,13.915M,70.871B,24.14
PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.61,-0.14,-1.44%,4.402M,16.518M,67.314B,1.84
CNQ,Canadian Natural Resources Limited,55.12,0.15,0.27%,1.066M,2.285M,60.997B,7.3
BMO,Bank of Montreal,92.42,-1.74,-1.85%,"450,073","753,028",62.581B,6.28
UBER,Uber Technologies Inc.,26.69,0.29,1.10%,8.589M,26.059M,53.231B,N/A
EPD,Enterprise Products Partners L.P.,24.02,0.16,0.67%,3.000M,5.477M,52.257B,10.4
E,Eni S.p.A.,28.47,0.49,1.75%,"429,153","474,398",51.515B,2.88
MPC,Marathon Petroleum Corporation,109.47,0.47,0.43%,2.432M,4M,51.304B,4.92
NGG,National Grid plc,62.8,0.81,1.31%,"340,731","553,269",46.065B,12.79
WDS,Woodside Energy Group Ltd,23.36,-0.45,-1.89%,"259,546","623,126",45.666B,7.42
DVN,Devon Energy Corporation,63.79,-0.46,-0.72%,6.188M,11.031M,41.693B,6.7
HES,Hess Corporation,134.17,-0.6,-0.45%,1.084M,2.148M,41.387B,22.3
SU,Suncor Energy Inc.,30,0.22,0.76%,3.119M,5.15M,40.64B,7.31
NTR,Nutrien Ltd.,76.96,0.71,0.93%,955.362k,2.278M,40.039B,5.47
KMI,Kinder Morgan Inc.,17.74,-0.31,-1.69%,10.868M,19.011M,39.864B,15.98
ANET,Arista Networks Inc.,127.2,0.44,0.35%,1.297M,2.324M,39.089B,43.71
HLT,Hilton Worldwide Holdings Inc.,136.7,2.38,1.77%,821.595k,1.956M,36.966B,35.59
STM,STMicroelectronics N.V.,38.77,1.08,2.87%,"981,801",4.023M,35.863B,10.54
