Symbol,Company,      Price,Chg, Chg,Weight
AAPL,Apple Inc.,   142.92,-3.72,-2.53,6.584835
MSFT,Microsoft Corporation,   245.02,-5.18,-2.07,5.547034
AMZN,Amazon.com Inc.,   88.53,-2.48,-2.72,2.398461
GOOGL,Alphabet Inc. Class A,   97.07,-2.41,-2.42,1.77359
BRK.B,Berkshire Hathaway Inc. Class B,   306.75,-3.82,-1.23,1.666301
GOOG,Alphabet Inc. Class C,   97.43,-2.44,-2.44,1.592211
UNH,UnitedHealth Group Incorporated,   536.75,1.71,-0.32,1.488106
TSLA,Tesla Inc,   178.61,-3.84,-2.10,1.44494
JNJ,Johnson & Johnson,   176.93,-1.85,-1.03,1.397615
XOM,Exxon Mobil Corporation,   103.90,-2.95,-2.76,1.324094
NVDA,NVIDIA Corporation,   160.32,-5.78,-3.48,1.236672
JPM,JPMorgan Chase & Co.,   130.16,-1.21,-0.92,1.145499
PG,Procter & Gamble Company,   148.63,-0.46,-0.31,1.059068
V,Visa Inc. Class A,   208.35,-5.33,-2.49,1.038787
HD,Home Depot Inc.,   315.23,-4.85,-1.52,0.978158
CVX,Chevron Corporation,   172.49,-4.07,-2.31,0.945431
MA,Mastercard Incorporated Class A,   346.26,-9.83,-2.76,0.903333
LLY,Eli Lilly and Company,   366.88,-2.42,-0.65,0.865979
ABBV,AbbVie Inc.,   162.59,-1.35,-0.82,0.861855
PFE,Pfizer Inc.,   49.65,-1.09,-2.14,0.846555
META,Meta Platforms Inc. Class A,   114.35,-8.08,-6.60,0.830239
MRK,Merck & Co. Inc.,   108.77,-1.24,-1.13,0.828635
PEP,PepsiCo Inc.,   180.86,-2.26,-1.23,0.751267
KO,Coca-Cola Company,   63.29,-0.19,-0.29,0.734758
BAC,Bank of America Corp,   32.53,-1.95,-5.64,0.716482
TMO,Thermo Fisher Scientific Inc.,   546.50,-10.72,-1.92,0.649119
COST,Costco Wholesale Corporation,   478.45,-10.21,-2.09,0.643596
WMT,Walmart Inc.,   149.52,-2.14,-1.41,0.642717
AVGO,Broadcom Inc.,   526.98,-3.66,-0.69,0.637032
CSCO,Cisco Systems Inc.,   48.42,-0.92,-1.85,0.607252
MCD,McDonald's Corporation,   270.41,-1.18,-0.43,0.59399
ACN,Accenture Plc Class A,   283.08,-9.66,-3.30,0.55022
ABT,Abbott Laboratories,   103.70,-1.71,-1.62,0.548754
DHR,Danaher Corporation,   263.50,-4.47,-1.67,0.521537
DIS,Walt Disney Company,   92.65,-3.28,-3.42,0.520003
BMY,Bristol-Myers Squibb Company,   79.84,-0.87,-1.07,0.512253
NEE,NextEra Energy Inc.,   84.07,-1.09,-1.27,0.497346
LIN,Linde plc,   330.25,-4.01,-1.20,0.495825
WFC,Wells Fargo & Company,   42.78,-0.89,-2.03,0.492298
TXN,Texas Instruments Incorporated,   175.20,-2.19,-1.23,0.482457
PM,Philip Morris International Inc.,   101.59,-1.89,-1.83,0.477456
ADBE,Adobe Incorporated,   328.53,-5.56,-1.66,0.46538
VZ,Verizon Communications Inc.,   36.66,-0.41,-1.11,0.462806
CMCSA,Comcast Corporation Class A,   34.63,-0.52,-1.48,0.460744
AMGN,Amgen Inc.,   282.56,-2.35,-0.82,0.453652
COP,ConocoPhillips,   115.68,-3.69,-3.09,0.45175
RTX,Raytheon Technologies Corporation,   98.39,-2.29,-2.27,0.442481
HON,Honeywell International Inc.,   211.59,-4.01,-1.86,0.43233
NFLX,Netflix Inc.,   304.55,-8.04,-2.57,0.413729
NKE,NIKE Inc. Class B,   107.37,-2.26,-2.06,0.41229
QCOM,QUALCOMM Incorporated,   120.05,-3.25,-2.64,0.412153
CVS,CVS Health Corporation,   100.95,-1.06,-1.04,0.398624
T,AT&T Inc.,   19.04,0.29,-1.52,0.397283
IBM,International Business Machines Corporation,   147.15,-0.26,-0.18,0.396288
CRM,Salesforce Inc.,   132.81,-1.12,-0.84,0.396141
UPS,United Parcel Service Inc. Class B,   174.40,-6.76,-3.73,0.394125
LOW,Lowe's Companies Inc.,   199.73,-6.45,-3.13,0.392247
UNP,Union Pacific Corporation,   208.99,-2.07,-0.98,0.392136
GS,Goldman Sachs Group Inc.,   360.92,-10.62,-2.86,0.37733
ELV,Elevance Health Inc.,   526.45,4.11,-0.79,0.37322
SCHW,Charles Schwab Corp,   80.17,-1.07,-1.32,0.369222
CAT,Caterpillar Inc.,   226.46,-6.11,-2.63,0.365453
DE,Deere & Company,   434.37,-2.52,-0.58,0.361317
ORCL,Oracle Corporation,   78.23,-1.2,-1.51,0.359143
MS,Morgan Stanley,   86.79,-3.02,-3.36,0.357967
INTC,Intel Corporation,   28.62,-0.55,-1.89,0.356504
SPGI,S&P Global Inc.,   349.09,-1.22,-0.35,0.355256
AMD,Advanced Micro Devices Inc.,   70.24,-3.39,-4.60,0.353965
SBUX,Starbucks Corporation,   101.73,-1.82,-1.76,0.352531
LMT,Lockheed Martin Corporation,   483.68,-6.99,-1.42,0.344205
INTU,Intuit Inc.,   386.95,-8.19,-2.07,0.331138
GILD,Gilead Sciences Inc.,   87.29,-0.69,-0.78,0.328211
ADP,Automatic Data Processing Inc.,   258.18,-6.21,-2.35,0.326923
BLK,BlackRock Inc.,   705.34,-7.42,-1.04,0.319835
PLD,Prologis Inc.,   114.56,0.3,-0.26,0.31221
MDT,Medtronic Plc,   77.21,-1.58,-2.01,0.311617
BA,Boeing Company,   178.13,-6.97,-3.77,0.307544
AMT,American Tower Corporation,   212.61,-3,-1.39,0.298806
CI,Cigna Corporation,   327.62,0.23,-0.07,0.297345
